name	rooms_5	rooms_6	race_mixed	race_native	rent_500_999	grapi_15_less	value_50000_less	units_boat_rv_van	value_50000_99999	income_35000_49999	value_100000_149000	rank_rooms_5	rank_rooms_6	rank_race_mixed	rank_race_native	rank_rent_500_999	rank_grapi_15_less	rank_value_50000_less	rank_units_boat_rv_van	rank_value_50000_99999	rank_income_35000_49999	rank_value_100000_149000
Alabama	22.2	20.4	2.4	0.5	54.7	15.5	12.5	0.1	19.7	13.2	17.9	10	5	50	24	14	15	4	13	8	21	12
Alaska	18.1	13.5	9.3	14.6	25.1	14.5	6.2	0.2	5.0	10.1	6.3	32	49	3	1	42	23	30	3	37	45	40
Arizona	21.1	18.6	7.0	4.3	35.6	13.1	7.3	0.4	6.7	13.3	9.6	13	16	9	7	34	35	26	1	32	16	34
Arkansas	24.5	20.4	4.0	0.6	62.1	17.3	13.3	0.1	22.9	14.1	20.1	3	5	26	22	1	8	3	13	4	2	6
California	19.4	17.0	7.9	0.8	14.6	10.6	2.7	0.1	2.0	10.0	2.3	24	34	6	18	49	50	45	13	47	46	50
Colorado	15.3	14.6	5.9	0.9	20.8	10.5	3.3	0.1	2.8	11.0	3.7	48	45	13	16	46	51	43	13	44	39	48
Connecticut	18.1	17.8	4.8	0.3	22.9	12.2	2.0	0.0	2.9	10.0	8.3	32	24	15	32	43	41	49	30	43	46	37
Delaware	15.5	19.7	3.9	0.4	26.3	12.9	4.9	0.0	3.7	11.7	7.4	46	7	27	28	39	38	34	30	40	36	38
District of Columbia	11.4	9.6	4.2	0.3	12.2	15.1	1.1	0.0	0.8	7.2	1.0	52	52	23	32	51	18	51	30	52	52	52
Florida	22.3	18.1	6.0	0.3	26.1	8.9	6.5	0.2	9.5	13.8	11.0	8	21	12	32	40	52	29	3	28	6	30
Georgia	19.3	18.6	3.7	0.3	37.9	13.5	7.7	0.1	12.9	12.5	15.1	26	16	33	32	29	32	22	13	22	26	23
Hawaii	19.5	14.1	24.3	0.2	11.8	11.1	1.0	0.0	1.2	9.7	1.5	23	48	1	44	52	49	52	30	50	48	51
Idaho	19.0	17.2	4.3	1.3	51.3	15.0	5.1	0.2	6.3	14.0	11.9	28	29	22	9	18	20	32	3	33	4	29
Illinois	19.3	17.6	4.2	0.3	37.2	14.6	6.1	0.0	13.4	11.2	14.4	26	26	23	32	30	22	31	30	21	38	26
Indiana	20.3	19.4	3.3	0.2	58.6	15.4	7.9	0.0	20.8	13.6	21.7	17	10	40	44	3	16	20	30	6	8	2
Iowa	17.3	17.0	3.0	0.3	58.1	17.5	8.4	0.1	19.6	13.1	20.4	38	34	42	32	5	6	16	13	9	23	4
Kansas	17.5	17.1	4.8	0.8	53.6	16.0	11.0	0.1	19.1	13.5	16.9	36	32	15	18	15	13	9	13	11	11	15
Kentucky	22.0	18.5	2.8	0.2	58.0	18.0	11.8	0.1	19.3	13.5	20.0	11	18	46	44	6	4	5	13	10	11	7
Louisiana	24.2	19.6	2.7	0.6	51.2	13.8	11.3	0.2	14.7	12.5	16.0	4	8	48	22	19	30	7	3	17	26	18
Maine	20.0	17.8	2.8	0.7	45.2	12.4	6.9	0.0	11.6	13.1	14.7	20	24	46	21	25	39	27	30	26	23	24
Maryland	13.6	16.6	4.5	0.3	15.4	11.8	2.6	0.0	3.4	9.3	5.8	51	36	21	32	48	46	46	30	41	49	42
Massachusetts	17.7	17.1	4.8	0.2	19.3	13.4	1.5	0.0	1.2	9.0	3.1	35	32	15	44	47	33	50	30	50	50	49
Michigan	20.0	19.4	3.8	0.5	50.8	14.2	10.9	0.0	16.4	13.3	17.5	20	10	31	24	20	28	10	30	13	16	14
Minnesota	14.4	14.6	3.9	1.0	37.0	14.4	4.3	0.0	7.0	11.5	10.9	49	45	27	15	31	24	36	30	31	37	31
Mississippi	24.2	20.6	1.7	0.5	56.7	14.9	16.0	0.1	24.3	13.5	17.6	4	2	52	24	10	21	2	13	2	11	13
Missouri	20.8	18.8	3.5	0.4	55.5	15.6	8.7	0.1	16.9	13.7	18.6	15	15	36	28	12	14	14	13	12	7	9
Montana	18.5	15.3	3.8	6.2	51.5	17.4	7.4	0.1	7.6	13.5	9.2	30	42	31	5	17	7	24	13	30	11	35
Nebraska	15.6	15.8	3.9	0.9	55.0	18.0	7.9	0.0	15.4	13.3	20.3	45	40	27	16	13	4	20	30	15	16	5
Nevada	20.5	17.9	7.5	1.2	31.8	12.0	4.0	0.2	3.8	13.3	6.2	16	23	7	10	35	45	40	3	39	16	41
New Hampshire	17.9	17.4	2.9	0.2	28.0	12.1	4.0	0.0	4.6	10.2	7.2	34	28	44	44	38	43	40	30	38	44	39
New Jersey	16.3	15.8	4.8	0.3	14.6	12.2	2.3	0.0	2.8	9.0	5.1	41	40	15	32	49	41	47	30	44	50	45
New Mexico	24.1	19.3	8.1	9.3	50.8	15.1	10.6	0.2	12.6	13.2	15.6	6	13	5	2	20	18	12	3	24	21	20
