name	age_35_44	ancestry_swiss	ancestry_welsh	rent_1000_1499	built_1970_1979	housing_occupied	ancestry_ukranian	units_boat_rv_van	value_300000_499999	edu_college_nodegree	rank_age_35_44	rank_ancestry_swiss	rank_ancestry_welsh	rank_rent_1000_1499	rank_built_1970_1979	rank_housing_occupied	rank_ancestry_ukranian	rank_units_boat_rv_van	rank_value_300000_499999	rank_edu_college_nodegree
Alabama	12.2	0.1	0.5	23.5	16.0	83.2	0.1	0.1	11.1	21.6	32	44	26	41	21	46	34	13	44	19
Alaska	12.8	0.4	0.8	35.3	23.0	80.1	0.3	0.2	33.0	26.0	13	10	12	12	2	49	16	3	9	2
Arizona	12.3	0.3	0.6	38.0	16.6	86.9	0.2	0.4	24.2	24.9	27	19	18	6	17	31	25	1	18	7
Arkansas	12.3	0.2	0.5	17.6	18.2	84.8	0.1	0.1	8.4	22.0	27	24	26	50	7	37	34	13	49	17
California	13.3	0.2	0.4	26.7	17.5	92.2	0.3	0.1	26.0	20.9	7	24	38	30	12	1	16	13	14	24
Colorado	13.8	0.4	0.8	34.7	17.8	90.5	0.2	0.1	38.5	20.8	2	10	12	13	10	9	25	13	1	26
Connecticut	11.9	0.2	0.4	38.4	13.5	91.1	0.6	0.0	27.9	16.8	43	24	38	5	42	4	5	30	13	45
Delaware	11.6	0.2	0.8	46.0	11.4	84.6	0.5	0.0	28.8	18.9	49	24	12	1	50	39	7	30	12	40
District of Columbia	15.1	0.2	0.4	23.2	6.9	90.3	0.5	0.0	25.6	12.6	1	24	38	43	52	13	7	30	15	51
Florida	12.1	0.2	0.5	39.2	17.4	82.9	0.3	0.2	22.2	19.8	36	24	26	4	14	47	16	3	23	37
Georgia	13.2	0.1	0.5	36.6	13.5	88.5	0.1	0.1	17.4	20.2	9	44	26	10	42	23	34	13	29	35
Hawaii	12.7	0.1	0.3	25.7	23.2	85.6	0.1	0.0	21.7	20.8	15	44	46	35	1	35	34	30	24	26
Idaho	12.6	0.7	1.4	27.8	17.1	88.1	0.3	0.2	24.1	26.1	17	3	2	26	15	25	16	3	19	1
Illinois	12.9	0.3	0.4	30.4	14.4	90.9	0.4	0.0	18.8	20.4	11	19	38	21	36	5	10	30	26	33
Indiana	12.3	0.6	0.6	23.9	13.8	89.6	0.1	0.0	10.3	20.1	27	5	18	40	40	17	34	30	47	36
Iowa	12.1	0.5	0.6	20.9	14.2	90.5	0.1	0.1	11.6	20.6	36	8	18	47	37	9	34	13	43	30
Kansas	12.3	0.4	0.8	26.1	14.7	89.2	0.1	0.1	12.7	22.8	27	10	12	33	33	19	34	13	40	13
Kentucky	12.4	0.2	0.6	20.9	16.3	87.6	0.1	0.1	10.4	20.9	25	24	18	47	18	29	34	13	46	24
Louisiana	12.6	0.1	0.3	26.8	17.9	84.4	0.0	0.2	12.6	21.2	17	44	46	29	9	41	50	3	41	21
Maine	11.5	0.2	0.9	27.7	13.8	76.3	0.2	0.0	17.5	19.2	50	24	9	27	40	52	25	30	28	38
Maryland	12.9	0.2	0.6	33.4	14.1	90.7	0.3	0.0	34.3	18.7	11	24	18	15	39	8	16	30	6	41
Massachusetts	12.2	0.1	0.4	25.8	11.5	90.9	0.4	0.0	35.6	15.3	32	44	38	34	49	5	10	30	4	50
Michigan	11.7	0.2	0.5	28.1	15.4	86.3	0.4	0.0	13.5	23.2	46	24	26	25	26	32	10	30	38	10
Minnesota	12.7	0.4	0.4	31.2	14.8	89.8	0.3	0.0	23.6	20.8	15	10	38	18	32	16	16	30	20	26
Mississippi	12.5	0.0	0.3	21.8	18.2	83.9	0.0	0.1	7.3	22.2	21	51	46	46	7	44	50	13	51	15
Missouri	12.2	0.4	0.6	25.4	15.3	87.0	0.1	0.1	12.8	22.0	32	10	18	37	28	30	34	13	39	17
Montana	12.0	0.5	1.0	25.2	17.1	84.7	0.3	0.1	24.3	23.3	40	8	6	38	15	38	16	13	17	9
Nebraska	12.5	0.4	0.5	25.6	15.8	90.8	0.1	0.0	12.6	22.7	21	10	26	36	22	7	34	30	41	14
Nevada	13.3	0.3	0.5	41.0	12.9	89.1	0.2	0.2	33.3	25.1	7	19	26	2	45	20	25	3	7	5
New Hampshire	11.5	0.2	0.8	39.8	14.9	84.4	0.4	0.0	30.7	18.0	50	24	12	3	30	41	10	30	10	43
New Jersey	12.8	0.2	0.3	37.8	12.5	90.2	0.7	0.0	34.5	16.1	13	24	46	7	46	14	3	30	5	47
New Mexico	12.1	0.2	0.5	27.4	17.5	84.0	0.1	0.2	14.2	23.4	36	24	26	28	12	43	34	3	37	8
New York	12.4	0.2	0.4	26.5	9.9	88.7	0.7	0.0	22.3	15.5	25	24	38	31	51	22	3	30	22	49
North Carolina	12.6	0.2	0.6	31.4	13.4	86.0	0.2	0.1	16.8	21.1	17	24	18	17	44	33	25	13	32	22
North Dakota	11.9	0.3	0.3	22.3	17.7	85.2	0.6	0.0	17.6	22.2	43	19	46	45	11	36	5	30	27	15
Ohio	12.0	0.6	1.0	23.4	14.2	90.4	0.4	0.0	10.9	20.3	40	5	6	42	37	11	10	30	45	34
Oklahoma	12.5	0.2	0.5	23.2	18.5	85.8	0.1	0.2	9.3	23.1	21	24	26	43	6	34	34	3	48	11
Oregon	13.4	0.7	1.0	37.7	18.6	91.8	0.5	0.3	36.7	25.0	5	3	6	8	5	3	7	2	2	6
Pennsylvania	11.7	0.6	1.2	30.6	12.5	89.4	0.8	0.0	17.1	15.9	46	5	3	20	46	18	1	30	30	48
Puerto Rico	12.3	null	null	5.8	22.8	77.3	null	0.0	3.3	null	27			52	3	51		30	52	
Rhode Island	11.7	0.1	0.3	34.7	12.3	88.4	0.4	0.0	30.2	18.0	46	44	46	13	48	24	10	30	11	43
South Carolina	12.1	0.2	0.5	29.9	14.5	84.6	0.2	0.1	14.4	20.6	36	24	26	23	34	39	25	13	36	30
South Dakota	11.9	0.4	0.5	18.7	16.3	87.7	0.2	0.1	14.7	21.1	43	10	26	49	18	28	25	13	35	22
Tennessee	12.5	0.2	0.6	28.2	15.1	88.1	0.1	0.1	15.4	20.7	21	24	18	24	29	25	34	13	34	29
Texas	13.6	0.1	0.4	36.5	14.9	89.1	0.1	0.2	17.0	21.5	4	44	38	11	30	20	34	3	31	20
Utah	13.7	1.1	1.9	37.4	15.8	90.4	0.1	0.1	35.8	25.5	3	1	1	9	22	11	34	13	3	3
Vermont	11.3	0.3	1.1	32.7	15.7	77.9	0.3	0.0	23.0	16.7	52	19	4	16	24	50	16	30	21	46
Virginia	13.0	0.2	0.7	30.1	15.4	90.0	0.3	0.0	25.4	19.1	10	24	17	22	26	15	16	30	16	39
Washington	13.4	0.4	0.9	31.1	15.5	92.2	0.8	0.2	33.2	23.1	5	10	9	19	25	1	1	3	8	11
West Virginia	12.0	0.2	0.9	16.1	16.2	82.2	0.1	0.1	8.0	18.7	40	24	9	51	20	48	34	13	50	41
Wisconsin	12.2	0.9	0.5	26.5	14.5	87.8	0.2	0.0	16.5	20.5	32	2	26	31	34	27	25	30	33	32
Wyoming	12.6	0.4	1.1	24.9	19.2	83.7	0.2	0.2	20.4	25.4	17	10	4	39	4	45	25	3	25	4
