name	rooms_6	rooms_7	rooms_8	age_85_over	rooms_median	class_private	housing_units	ancestry_irish	ancestry_swiss	ancestry_welsh	edu_highschool	ancestry_polish	ancestry_slovak	built_1940_1949	built_1950_1959	ancestry_italian	ancestry_russian	units_1_attached	ancestry_ukranian	ancestry_hungarian	built_1939_earlier	ancestry_lithuanian	rank_rooms_6	rank_rooms_7	rank_rooms_8	rank_age_85_over	rank_rooms_median	rank_class_private	rank_housing_units	rank_ancestry_irish	rank_ancestry_swiss	rank_ancestry_welsh	rank_edu_highschool	rank_ancestry_polish	rank_ancestry_slovak	rank_built_1940_1949	rank_built_1950_1959	rank_ancestry_italian	rank_ancestry_russian	rank_units_1_attached	rank_ancestry_ukranian	rank_ancestry_hungarian	rank_built_1939_earlier	rank_ancestry_lithuanian
Alabama	20.4	13.9	9.4	1.8	5.8	78.7	2270398	8.0	0.1	0.5	30.3	0.6	0.0	3.8	8.2	1.6	0.1	1.6	0.1	0.1	5.1	0.0	5	4	21	34	13	29	24	40	44	26	14	49	40	35	34	48	49	50	34	44	39	46
Alaska	13.5	8.6	6.4	0.9	4.8	67.2	318370	9.7	0.4	0.8	28.4	1.9	0.1	1.5	4.6	2.8	1.2	7.4	0.3	0.2	1.6	0.1	49	49	49	52	49	52	51	31	10	12	21	24	17	50	51	33	8	9	16	31	50	22
Arizona	18.6	11.9	7.7	2.0	5.3	79.9	3040595	8.6	0.3	0.6	23.8	2.2	0.1	1.4	5.2	4.1	0.7	4.9	0.2	0.4	1.4	0.2	16	35	39	26	42	22	14	36	19	18	44	21	17	51	50	20	24	21	25	11	51	14
Arkansas	20.4	12.2	7.4	2.0	5.4	78.6	1379778	9.4	0.2	0.5	33.9	0.8	0.0	3.6	6.8	1.5	0.1	1.6	0.1	0.1	4.6	0.1	5	29	45	26	37	30	32	32	24	26	3	46	40	38	44	49	49	50	34	44	41	22
California	17.0	10.5	7.1	1.9	5.1	78.1	14210945	5.9	0.2	0.4	20.4	1.2	0.1	5.8	13.3	3.6	0.9	7.1	0.3	0.3	9.0	0.1	34	47	46	32	47	34	1	49	24	38	50	39	17	11	7	24	15	12	16	20	30	22
Colorado	14.6	11.4	9.9	1.6	5.7	80.0	2361372	10.9	0.4	0.8	21.2	2.3	0.2	2.5	7.4	4.9	1.0	7.2	0.2	0.4	7.6	0.2	45	41	16	45	19	21	22	22	10	12	49	18	7	48	37	15	13	11	25	11	33	14
Connecticut	17.8	12.8	9.5	2.6	5.6	80.8	1521199	15.0	0.2	0.4	26.3	6.9	0.5	6.7	14.7	16.5	1.4	5.6	0.6	0.9	21.5	0.7	24	16	19	3	23	14	30	7	24	38	32	3	3	7	1	1	5	17	5	3	9	1
Delaware	19.7	16.3	12.4	1.9	6.3	80.3	438438	14.2	0.2	0.8	31.0	4.1	0.2	4.5	9.9	8.4	0.8	15.9	0.5	0.4	8.2	0.3	7	1	1	32	2	16	46	8	24	12	11	10	7	26	20	8	19	4	7	11	32	7
District of Columbia	9.6	7.1	5.4	1.6	4.1	70.7	319192	7.1	0.2	0.4	16.6	2.2	0.2	11.3	12.1	4.0	1.5	23.9	0.5	0.4	33.6	0.3	52	51	50	45	52	49	50	43	24	38	51	21	7	1	11	21	4	1	7	11	1	7
Florida	18.1	10.8	6.8	2.7	5.2	82.2	9562324	8.4	0.2	0.5	28.2	2.3	0.1	2.0	7.0	5.8	0.9	6.3	0.3	0.5	2.1	0.2	21	46	48	2	45	9	3	38	24	26	23	18	17	49	41	11	15	14	16	7	48	14
