name	rooms_4	rooms_5	age_65_74	age_75_84	in_retail	job_sales	class_govt	median_age	race_mixed	unemployed	age_16_over	age_18_over	age_21_over	age_62_over	age_65_over	age_85_over	job_service	grapi_35_more	race_hispanic	rent_500_less	housing_vacant	built_1960_1969	built_1970_1979	built_1980_1989	in_public_admin	units_1_attached	income_10000_less	value_50000_99999	class_selfemployed	income_10000_14999	income_15000_24999	income_25000_34999	value_100000_149000	rank_rooms_4	rank_rooms_5	rank_age_65_74	rank_age_75_84	rank_in_retail	rank_job_sales	rank_class_govt	rank_median_age	rank_race_mixed	rank_unemployed	rank_age_16_over	rank_age_18_over	rank_age_21_over	rank_age_62_over	rank_age_65_over	rank_age_85_over	rank_job_service	rank_grapi_35_more	rank_race_hispanic	rank_rent_500_less	rank_housing_vacant	rank_built_1960_1969	rank_built_1970_1979	rank_built_1980_1989	rank_in_public_admin	rank_units_1_attached	rank_income_10000_less	rank_value_50000_99999	rank_class_selfemployed	rank_income_10000_14999	rank_income_15000_24999	rank_income_25000_34999	rank_value_100000_149000
Alabama	13.9	22.2	10.0	5.1	11.6	21.5	15.7	39.2	2.4	3.2	80.3	77.7	73.5	20.8	16.9	1.8	16.1	38.8	4.4	15.8	16.8	11.3	16.0	14.7	5.5	1.6	8.1	19.7	5.4	5.6	10.9	10.5	17.9	41	10	17	11	13	20	16	20	50	28	26	27	30	20	20	34	43	21	41	9	7	15	21	19	13	50	7	8	35	5	7	5	12
Alaska	19.8	18.1	8.1	2.9	10.5	20.4	25.9	34.6	9.3	4.6	77.7	75.1	71.5	15.4	11.9	0.9	17.7	34.8	7.2	6.1	19.9	8.0	23.0	26.1	11.8	7.4	3.8	5.0	6.7	2.9	6.2	6.7	6.3	4	32	49	52	43	40	1	50	3	3	49	49	46	50	51	52	14	44	32	47	4	46	2	1	2	9	50	37	13	49	48	47	40
Arizona	16.8	21.1	10.2	5.5	12.0	23.9	13.8	37.9	7.0	3.5	79.7	77.1	73.0	21.1	17.6	2.0	18.7	38.6	31.5	5.7	13.1	7.2	16.6	17.6	4.9	4.9	5.9	6.7	6.1	3.7	8.6	9.0	9.6	14	13	14	6	8	3	31	35	9	16	34	34	34	16	12	26	10	24	5	49	22	48	17	4	18	21	22	32	23	37	25	27	34
Arkansas	15.9	24.5	9.9	5.1	13.1	21.2	15.2	38.3	4.0	3.0	79.3	76.7	72.5	20.6	16.9	2.0	16.6	34.5	7.6	16.1	15.2	10.1	18.2	15.0	4.4	1.6	7.4	22.9	6.0	5.6	11.9	11.3	20.1	22	3	18	11	2	24	19	28	26	34	39	39	38	24	20	26	34	47	30	7	16	23	7	17	30	50	9	4	25	5	5	2	6
California	19.1	19.4	8.3	4.1	10.4	20.9	13.9	36.7	7.9	3.9	79.8	77.2	73.2	17.6	14.3	1.9	18.1	44.7	39.1	4.6	7.8	13.2	17.5	15.1	4.6	7.1	4.7	2.0	7.8	3.9	6.9	7.1	2.3	5	24	48	46	47	30	29	44	6	7	32	33	33	46	46	32	12	4	4	51	51	5	12	14	25	12	42	47	6	31	40	43	50
Colorado	15.0	15.3	8.8	3.8	10.6	20.9	13.6	36.9	5.9	3.1	80.4	77.9	73.9	17.6	14.2	1.6	16.5	41.2	21.7	5.9	9.5	8.3	17.8	14.2	4.6	7.2	4.5	2.8	6.3	3.1	6.6	7.2	3.7	34	48	45	48	42	30	34	41	13	31	22	23	23	46	47	45	36	9	8	48	43	43	10	24	25	11	46	44	19	45	46	41	48
Connecticut	15.2	18.1	9.7	4.9	10.5	20.9	12.8	41.1	4.8	4.0	82.0	79.4	75.1	21.1	17.2	2.6	17.3	42.2	16.4	9.6	8.9	13.6	13.5	12.4	3.7	5.6	4.9	2.9	6.3	3.4	6.8	6.9	8.3	30	32	24	19	43	30	41	7	15	5	10	10	14	16	16	3	19	7	12	34	49	3	42	30	46	17	39	43	19	42	41	45	37
Delaware	11.9	15.5	11.3	5.6	11.7	21.6	15.2	41.0	3.9	3.6	81.3	78.9	74.9	23.0	18.8	1.9	17.2	39.8	9.4	7.7	15.4	10.0	11.4	12.6	5.6	15.9	5.2	3.7	4.3	3.5	6.8	8.9	7.4	52	46	4	5	11	19	19	8	27	13	14	14	15	6	6	32	22	17	29	38	13	27	50	27	11	4	33	40	50	40	41	30	38
District of Columbia	17.3	11.4	7.0	3.6	4.6	14.5	24.8	34.1	4.2	5.0	83.5	82.0	77.4	15.1	12.2	1.6	13.6	36.0	11.1	10.1	9.7	11.0	6.9	4.5	16.8	23.9	8.4	0.8	4.3	3.9	5.4	5.5	1.0	8	52	51	49	52	52	2	51	23	2	4	1	2	51	50	45	52	35	21	30	40	18	52	52	1	1	5	52	50	31	52	52	52
Florida	20.8	22.3	11.3	6.5	12.5	24.3	11.7	42.2	6.0	3.2	82.4	80.1	76.6	24.3	20.5	2.7	19.6	46.8	25.8	5.0	17.1	8.8	17.4	20.0	4.3	6.3	6.2	9.5	5.9	4.2	9.3	9.9	11.0	2	8	4	2	4	2	49	6	12	28	8	8	5	2	2	2	5	1	7	50	6	35	14	2	33	14	17	28	26	20	18	16	30
