name	units_2	units_3_4	age_16_over	age_18_over	age_85_over	grapi_25_29	ancestry_greek	ancestry_irish	ancestry_french	built_1940_1949	built_1950_1959	ancestry_italian	built_1939_earlier	ancestry_portuguese	in_education_health	value_200000_299999	value_300000_499999	income_100000_149999	ancestry_frenchcanadian	ancestry_subsaharan_african	rank_units_2	rank_units_3_4	rank_age_16_over	rank_age_18_over	rank_age_85_over	rank_grapi_25_29	rank_ancestry_greek	rank_ancestry_irish	rank_ancestry_french	rank_built_1940_1949	rank_built_1950_1959	rank_ancestry_italian	rank_built_1939_earlier	rank_ancestry_portuguese	rank_in_education_health	rank_value_200000_299999	rank_value_300000_499999	rank_income_100000_149999	rank_ancestry_frenchcanadian	rank_ancestry_subsaharan_african
Alabama	2.0	2.9	80.3	77.7	1.8	11.8	0.2	8.0	1.4	3.8	8.2	1.6	5.1	0.1	22.7	17.6	11.1	13.1	0.2	0.9	37	41	26	27	34	21	31	40	45	35	34	48	39	29	36	41	44	45	35	26
Alaska	5.4	7.3	77.7	75.1	0.9	11.7	0.2	9.7	2.3	1.5	4.6	2.8	1.6	0.2	24.6	29.3	33.0	19.3	0.7	0.8	10	4	49	49	52	24	31	31	18	50	51	33	50	17	17	4	9	2	13	28
Arizona	1.3	3.4	79.7	77.1	2.0	12.0	0.3	8.6	2.1	1.4	5.2	4.1	1.4	0.2	22.0	26.4	24.2	15.0	0.4	0.7	52	33	34	34	26	16	20	36	23	51	50	20	51	17	43	13	18	31	21	33
Arkansas	3.2	3.4	79.3	76.7	2.0	11.6	0.1	9.4	1.6	3.6	6.8	1.5	4.6	0.1	24.6	15.4	8.4	11.7	0.2	0.7	16	33	39	39	26	28	45	32	36	38	44	49	41	29	17	46	49	50	35	33
California	2.4	5.4	79.8	77.2	1.9	11.5	0.3	5.9	1.6	5.8	13.3	3.6	9.0	0.8	21.2	9.9	26.0	17.1	0.3	0.7	26	11	32	33	32	36	20	49	36	11	7	24	30	7	47	49	14	15	27	33
Colorado	1.6	3.3	80.4	77.9	1.6	12.5	0.3	10.9	2.5	2.5	7.4	4.9	7.6	0.3	21.2	18.4	38.5	18.2	0.5	0.8	47	36	22	23	45	6	20	22	17	48	37	15	33	14	47	38	1	8	17	28
Connecticut	8.2	8.4	82.0	79.4	2.6	11.9	0.8	15.0	4.6	6.7	14.7	16.5	21.5	1.3	26.5	27.3	27.9	17.6	2.5	1.0	5	3	10	10	3	18	3	7	7	7	1	1	9	5	7	10	13	12	7	19
Delaware	1.6	2.2	81.3	78.9	1.9	12.5	0.5	14.2	1.4	4.5	9.9	8.4	8.2	0.1	25.0	30.7	28.8	17.0	0.3	1.5	47	50	14	14	32	6	8	8	45	26	20	8	32	29	14	2	12	16	27	8
District of Columbia	3.1	7.0	83.5	82.0	1.6	12.1	0.4	7.1	1.6	11.3	12.1	4.0	33.6	0.2	18.2	8.5	25.6	16.4	0.3	3.2	18	5	4	1	45	14	13	43	36	1	11	21	1	17	51	50	15	19	27	2
Florida	2.0	3.9	82.4	80.1	2.7	11.7	0.4	8.4	2.0	2.0	7.0	5.8	2.1	0.4	21.1	24.8	22.2	13.7	0.5	0.7	37	25	8	8	2	24	13	38	24	49	41	11	48	11	49	15	23	40	17	33
Georgia	2.1	2.9	78.9	76.2	1.4	11.0	0.2	7.0	1.3	2.6	5.9	2.2	4.2	0.1	20.9	21.0	17.4	14.9	0.2	1.9	32	41	43	44	49	48	31	44	49	47	49	38	44	29	50	28	29	33	35	7
Hawaii	2.1	4.0	80.9	78.7	2.8	11.6	0.2	4.4	1.4	3.5	8.5	2.1	3.5	3.4	21.3	7.0	21.7	19.5	0.2	0.2	32	22	15	15	1	28	31	51	45	39	33	41	46	3	46	52	24	1	35	49
Idaho	2.3	4.3	77.5	74.7	1.6	11.9	0.2	9.1	2.3	3.8	6.1	3.1	8.3	0.4	22.3	26.9	24.1	14.5	0.5	0.2	28	19	50	50	45	18	31	34	18	35	47	31	31	11	40	11	19	36	17	49
Illinois	5.6	6.4	80.2	77.5	2.1	11.3	0.7	11.0	1.7	6.1	12.6	5.7	21.0	0.1	23.3	22.3	18.8	16.6	0.3	1.0	7	8	29	29	23	43	4	20	34	9	8	12	10	29	31	19	26	18	27	19
Indiana	2.4	3.5	79.2	76.5	2.0	11.7	0.3	10.4	2.0	5.7	10.9	2.7	16.8	0.1	23.3	17.4	10.3	14.7	0.2	0.9	26	31	40	41	26	24	20	24	24	12	14	35	17	29	31	42	47	34	35	26
Iowa	2.2	3.4	79.5	76.9	2.5	11.2	0.2	13.0	1.8	5.0	10.1	2.0	25.2	0.1	24.3	19.3	11.6	15.9	0.2	1.0	31	33	36	35	6	44	31	11	30	19	17	43	7	29	21	34	43	24	35	19
Kansas	2.5	3.6	78.5	75.8	2.3	11.5	0.2	11.3	2.3	5.5	12.6	2.1	16.2	0.1	24.7	19.0	12.7	15.1	0.3	0.7	23	27	45	45	11	36	31	17	18	13	8	41	18	29	15	37	40	29	27	33
Kentucky	2.9	4.4	80.0	77.4	1.8	11.7	0.1	11.2	1.5	4.3	9.1	2.0	9.6	0.1	24.1	17.0	10.4	13.0	0.2	0.8	19	16	31	31	34	24	45	18	40	29	25	43	29	29	23	43	46	46	35	28
Louisiana	4.0	4.0	79.1	76.5	1.7	9.8	0.1	6.5	10.8	4.0	9.3	4.3	6.7	0.1	24.5	21.3	12.6	13.0	2.8	1.4	14	22	41	41	40	51	45	46	3	33	24	18	37	29	19	26	41	46	6	10
Maine	4.9	5.4	83.6	81.3	2.6	15.2	0.5	16.7	13.3	4.6	7.2	5.7	23.8	0.6	28.0	24.7	17.5	15.0	7.7	0.8	11	11	3	3	3	1	8	4	1	25	40	12	8	8	4	16	28	31	3	28
Maryland	1.5	2.2	80.3	77.8	2.0	12.3	0.5	9.8	1.4	5.2	11.3	4.8	11.6	0.2	23.7	23.7	34.3	19.3	0.3	4.3	50	50	26	24	26	9	8	30	45	16	13	16	25	17	27	18	6	2	27	1
Massachusetts	9.7	10.7	82.6	80.2	2.4	12.3	1.1	19.7	5.6	5.4	11.4	12.0	31.9	4.0	28.2	17.9	35.6	18.0	3.6	2.2	3	2	7	7	9	9	2	2	6	15	12	4	2	2	3	40	4	10	5	6
Michigan	2.3	2.6	80.9	78.3	2.2	11.4	0.4	10.2	3.7	7.5	14.7	4.5	14.6	0.1	23.4	19.6	13.5	14.6	1.5	0.8	28	48	15	17	16	41	13	25	8	3	1	17	21	29	28	33	38	35	8	28
