name	edu_9_12	race_black	units_mobile	built_1990_1999	built_2000_2009	built_2014_later	ancestry_american	ancestry_scottish_irish	rank_edu_9_12	rank_race_black	rank_units_mobile	rank_built_1990_1999	rank_built_2000_2009	rank_built_2014_later	rank_ancestry_american	rank_ancestry_scottish_irish
Alabama	9.1	26.6	13.0	18.1	15.3	3.5	16.2	1.4	3	6	5	6	16	25	1	7
Alaska	4.5	3.2	4.4	14.2	15.7	2.4	3.5	1.3	44	40	32	24	14	37	42	11
Arizona	7.0	4.5	10.3	20.0	23.4	4.2	3.7	0.8	17	35	11	3	2	16	38	27
Arkansas	8.1	15.2	11.7	17.8	15.7	4.1	9.8	1.1	5	14	9	8	14	17	8	16
California	7.2	5.7	3.6	11.0	10.9	2.4	2.9	0.5	14	32	37	41	39	37	48	42
Colorado	4.6	4.1	3.9	16.8	17.1	5.1	3.8	1.1	39	36	34	16	11	8	35	16
Connecticut	5.1	10.7	0.8	7.8	6.8	1.6	3.7	0.5	32	23	48	48	50	49	38	42
Delaware	6.1	22.0	7.8	15.1	18.7	5.4	6.0	0.7	22	8	19	20	8	6	20	34
District of Columbia	4.8	45.4	0.1	3.3	8.2	5.4	2.6	0.6	36	1	52	52	47	6	49	38
Florida	6.9	15.9	8.7	16.9	18.7	4.4	8.0	0.8	18	12	15	14	8	14	11	27
Georgia	7.7	31.6	8.6	20.6	21.0	4.3	9.7	1.1	10	4	16	2	3	15	9	16
Hawaii	4.1	1.9	0.2	13.9	12.3	2.6	1.3	0.4	50	44	51	27	30	34	51	48
Idaho	5.6	0.7	7.7	18.1	19.7	6.3	6.2	1.0	28	51	20	6	4	4	19	22
Illinois	5.7	14.1	2.4	11.3	10.8	1.7	3.7	0.5	27	15	43	40	42	48	38	42
Indiana	7.1	9.4	4.7	14.7	11.9	2.9	7.7	0.8	16	24	31	22	33	31	12	27
Iowa	4.6	3.7	3.6	10.7	10.9	3.6	4.5	0.8	39	38	37	43	39	22	30	27
Kansas	5.2	5.7	4.2	12.9	10.9	2.8	5.9	1.0	31	32	33	32	39	32	21	22
Kentucky	7.8	8.1	11.5	17.1	14.3	3.1	14.0	1.3	8	26	10	13	22	29	2	11
Louisiana	9.5	32.2	12.9	12.8	14.3	4.0	7.5	0.7	2	3	6	33	22	19	15	34
Maine	4.5	1.4	8.3	12.2	12.6	2.2	6.5	1.5	44	47	18	35	29	40	18	5
Maryland	5.6	29.9	1.3	14.2	11.2	3.2	4.6	0.7	28	5	45	24	36	28	28	34
Massachusetts	4.7	7.5	0.8	7.8	7.1	2.3	3.8	0.6	38	27	48	48	49	39	35	38
Michigan	6.0	13.6	5.4	13.3	9.9	1.8	5.0	0.7	24	16	28	31	44	45	23	34
Minnesota	3.9	6.4	3.2	13.5	13.7	3.3	3.0	0.5	51	30	41	29	26	27	47	42
Mississippi	10.0	37.7	14.8	17.3	16.8	3.5	10.7	1.4	1	2	3	11	12	25	4	7
Missouri	6.5	11.4	5.9	14.3	13.0	2.8	7.7	1.1	20	20	26	23	28	32	12	16
Montana	4.3	0.6	10.2	13.9	14.4	4.1	5.0	1.5	48	52	12	27	21	17	23	5
Nebraska	4.6	4.8	3.3	11.6	11.1	3.6	3.7	0.8	39	34	40	39	37	22	38	27
Nevada	7.7	9.3	5.3	26.7	26.6	4.7	3.5	0.6	10	25	29	1	1	11	42	38
New Hampshire	4.5	1.6	5.7	10.7	11.6	2.2	4.3	1.2	44	46	27	43	34	40	32	13
New Jersey	5.1	13.4	0.9	9.7	8.8	2.2	3.3	0.4	32	17	46	46	46	40	45	48
New Mexico	7.9	2.1	16.7	17.7	14.7	2.5	4.2	0.8	7	42	1	10	20	35	33	27
New York	6.8	15.4	2.3	6.3	6.1	1.6	4.9	0.3	19	13	44	51	51	49	25	51
North Carolina	7.2	21.4	12.4	19.7	18.8	4.8	10.4	2.3	14	9	8	4	6	9	6	1
North Dakota	4.2	3.2	7.1	10.1	11.0	8.0	2.6	0.5	49	40	22	45	38	1	49	42
Ohio	6.5	12.4	3.7	11.8	9.4	2.0	6.6	0.9	20	18	36	36	45	44	17	25
Oklahoma	7.6	7.3	9.2	11.7	13.2	3.9	7.3	1.0	12	28	13	38	27	20	16	22
Oregon	5.4	1.9	7.7	16.9	13.9	3.8	4.7	1.2	30	44	20	14	24	21	26	13
Pennsylvania	5.9	11.1	3.8	9.6	8.1	1.8	4.5	1.1	25	22	35	47	48	45	30	16
Puerto Rico	null	11.3	0.3	15.3	12.3	0.3	null	null		21	50	19	30	52		
Rhode Island	6.1	6.5	0.9	7.8	5.9	1.0	3.4	0.5	22	29	46	48	52	51	44	42
South Carolina	8.0	26.4	15.8	19.1	18.8	5.9	10.2	2.2	6	7	2	5	6	5	7	2
South Dakota	5.0	2.1	8.6	12.8	13.9	4.7	4.0	0.6	34	42	16	33	24	11	34	38
Tennessee	7.6	16.7	8.9	17.8	16.1	4.7	12.3	2.1	12	11	14	8	13	11	3	3
Texas	7.8	12.1	6.9	15.1	18.7	7.1	5.4	0.9	8	19	23	20	8	2	22	25
Utah	4.6	1.2	3.1	17.2	19.4	6.8	4.6	0.8	39	49	42	12	5	3	28	27
Vermont	4.5	1.3	6.4	10.8	10.8	2.1	7.7	1.2	44	48	24	42	42	43	12	13
Virginia	5.8	19.0	4.9	15.8	14.9	3.6	9.4	1.4	26	10	30	18	18	22	10	7
Washington	4.8	3.9	6.0	16.7	15.0	4.8	3.8	1.1	36	37	25	17	17	9	35	16
West Virginia	8.3	3.6	14.6	13.5	11.3	1.8	10.6	1.8	4	39	4	29	35	45	5	4
Wisconsin	4.9	6.3	3.4	14.0	12.3	2.5	3.1	0.4	35	31	39	26	30	35	46	48
Wyoming	4.6	0.9	12.7	11.8	14.8	3.0	4.7	1.4	39	50	7	36	19	30	26	7
