name	age_5_9	rooms_8	rooms_9	employed	age_5_under	age_under18	grapi_15_19	grapi_20_24	race_native	class_unpaid	rent_500_999	grapi_15_less	ancestry_czech	ancestry_dutch	in_agri_mining	ancestry_danish	ancestry_german	built_2010_2013	ancestry_swedish	value_50000_less	ancestry_norwegian	class_selfemployed	income_75000_99999	edu_associate_degree	rank_age_5_9	rank_rooms_8	rank_rooms_9	rank_employed	rank_age_5_under	rank_age_under18	rank_grapi_15_19	rank_grapi_20_24	rank_race_native	rank_class_unpaid	rank_rent_500_999	rank_grapi_15_less	rank_ancestry_czech	rank_ancestry_dutch	rank_in_agri_mining	rank_ancestry_danish	rank_ancestry_german	rank_built_2010_2013	rank_ancestry_swedish	rank_value_50000_less	rank_ancestry_norwegian	rank_class_selfemployed	rank_income_75000_99999	rank_edu_associate_degree
Alabama	6.0	9.4	11.9	54.0	6.0	22.3	13.2	12.2	0.5	0.2	54.7	15.5	0.1	0.6	1.4	0.1	6.2	3.9	0.3	12.5	0.3	5.4	11.8	8.7	27	21	31	48	25	25	34	44	24	6	14	15	44	44	28	40	47	11	48	4	45	35	45	28
Alaska	7.2	6.4	8.1	59.6	7.1	24.9	14.9	14.7	14.6	0.2	25.1	14.5	0.4	1.4	4.5	0.7	14.3	2.9	2.0	6.2	3.0	6.7	14.2	8.7	2	49	45	29	2	4	7	1	1	6	42	23	14	16	6	13	21	23	14	30	10	13	5	28
Arizona	6.2	7.7	7.8	56.2	6.0	22.9	13.3	14.0	4.3	0.2	35.6	13.1	0.4	1.1	1.3	0.6	12.7	3.0	1.3	7.3	1.7	6.1	13.2	8.9	19	39	46	42	25	19	30	7	7	6	34	35	14	23	31	15	23	22	23	26	15	23	22	21
Arkansas	6.5	7.4	8.6	54.8	6.3	23.3	14.3	13.3	0.6	0.2	62.1	17.3	0.2	1.0	2.7	0.2	9.3	4.1	0.5	13.3	0.5	6.0	11.6	7.5	11	45	42	47	12	14	14	24	22	6	1	8	29	26	16	28	33	6	40	3	31	25	47	45
California	6.2	7.1	6.9	59.4	6.1	22.8	11.4	12.2	0.8	0.2	14.6	10.6	0.2	0.8	2.1	0.4	7.1	1.8	0.9	2.7	0.9	7.8	12.3	8.0	19	46	49	30	19	20	49	44	18	6	49	50	29	34	23	18	44	42	26	45	19	6	40	38
Colorado	6.1	9.9	17.7	64.3	5.8	22.1	12.2	13.5	0.9	0.2	20.8	10.5	0.6	1.5	2.2	0.7	18.3	3.1	2.2	3.3	2.1	6.3	13.6	8.5	24	16	7	8	33	30	44	19	16	6	46	51	11	14	21	13	15	21	13	43	13	19	16	32
Connecticut	5.4	9.5	12.5	61.7	5.1	20.6	12.2	12.3	0.3	0.2	22.9	12.2	0.3	0.7	0.4	0.3	8.4	1.5	1.4	2.0	0.5	6.3	12.2	7.8	44	19	23	17	48	43	44	43	32	6	43	41	22	39	49	22	40	48	22	49	31	19	42	42
Delaware	5.7	12.4	16.5	58.0	5.7	21.1	13.7	11.8	0.4	0.2	26.3	12.9	0.2	0.8	1.0	0.1	12.0	4.1	0.7	4.9	0.4	4.3	13.9	8.0	40	1	10	37	38	39	20	47	28	6	39	38	29	34	38	40	26	6	30	34	37	50	11	38
District of Columbia	5.0	5.4	9.1	65.2	6.4	18.0	13.5	13.7	0.3	0.2	12.2	15.1	0.4	0.7	0.2	0.3	7.3	3.7	0.8	1.1	0.6	4.3	10.6	2.9	51	50	40	5	11	52	26	14	32	6	51	18	14	39	52	22	43	13	28	51	27	50	51	51
Florida	5.3	6.8	6.6	55.4	5.3	19.9	10.7	12.4	0.3	0.2	26.1	8.9	0.2	0.8	0.9	0.2	9.2	2.7	0.7	6.5	0.6	5.9	12.5	10.0	45	48	50	45	44	45	52	42	32	6	40	52	29	34	42	28	36	29	30	29	27	26	34	13
