name	age_5_9	edu_9_12	age_10_14	age_15_19	age_35_44	edu_9_less	pop_change	age_5_under	age_under18	units_10_19	housing_units	race_hispanic	rent_1000_1499	built_2000_2009	built_2010_2013	in_construction	popestimate2020	popestimate2021	built_2014_later	units_boat_rv_van	rank_age_5_9	rank_edu_9_12	rank_age_10_14	rank_age_15_19	rank_age_35_44	rank_edu_9_less	rank_pop_change	rank_age_5_under	rank_age_under18	rank_units_10_19	rank_housing_units	rank_race_hispanic	rank_rent_1000_1499	rank_built_2000_2009	rank_built_2010_2013	rank_in_construction	rank_popestimate2020	rank_popestimate2021	rank_built_2014_later	rank_units_boat_rv_van
Alabama	6.0	9.1	6.4	6.6	12.2	4.0	15074	6.0	22.3	3.3	2270398	4.4	23.5	15.3	3.9	6.7	5024803	5039877	3.5	0.1	27	3	23	16	32	20	16	25	25	37	24	41	41	16	11	26	24	24	25	13
Alaska	7.2	4.5	6.7	6.3	12.8	2.4	232	7.1	24.9	2.7	318370	7.2	35.3	15.7	2.9	6.7	732441	732673	2.4	0.2	2	44	11	34	13	45	32	2	4	42	51	32	12	14	23	26	49	49	37	3
Arizona	6.2	7.0	6.7	6.7	12.3	5.1	98330	6.0	22.9	4.2	3040595	31.5	38.0	23.4	3.0	7.1	7177986	7276316	4.2	0.4	19	17	11	12	27	6	3	25	19	18	14	5	6	2	22	14	14	14	16	1
Arkansas	6.5	8.1	6.7	6.7	12.3	4.7	13659	6.3	23.3	3.6	1379778	7.6	17.6	15.7	4.1	6.9	3012232	3025891	4.1	0.1	11	5	11	12	27	8	18	12	14	28	32	30	50	14	6	22	34	34	17	13
California	6.2	7.2	6.6	6.5	13.3	8.9	-261902	6.1	22.8	5.1	14210945	39.1	26.7	10.9	1.8	6.4	39499738	39237836	2.4	0.1	19	14	16	22	7	1		19	20	9	1	4	30	39	42	36	1	1	37	13
Colorado	6.1	4.6	6.4	6.4	13.8	3.3	27761	5.8	22.1	5.6	2361372	21.7	34.7	17.1	3.1	8.1	5784308	5812069	5.1	0.1	24	39	23	31	2	32	11	33	30	4	22	8	13	11	21	5	21	21	8	13
Connecticut	5.4	5.1	6.2	6.8	11.9	4.0	5337	5.1	20.6	3.6	1521199	16.4	38.4	6.8	1.5	6.1	3600260	3605597	1.6	0.0	44	32	35	8	43	20	25	48	43	28	30	12	5	50	48	39	29	29	49	30
Delaware	5.7	6.1	6.1	6.2	11.6	3.3	11498	5.7	21.1	5.0	438438	9.4	46.0	18.7	4.1	6.9	991886	1003384	5.4	0.0	40	22	38	42	49	32	19	38	39	10	46	29	1	8	6	22	46	46	6	30
District of Columbia	5.0	4.8	4.3	5.3	15.1	3.3	-20043	6.4	18.0	9.0	319192	11.1	23.2	8.2	3.7	2.8	690093	670050	5.4	0.0	51	36	52	52	1	32		11	52	1	50	21	43	47	13	52	50	50	6	30
Florida	5.3	6.9	5.8	5.7	12.1	4.6	211196	5.3	19.9	5.6	9562324	25.8	39.2	18.7	2.7	7.9	21569932	21781128	4.4	0.2	45	18	46	50	36	13	2	44	45	4	3	7	4	8	29	7	3	3	14	3
Georgia	6.5	7.7	7.0	7.0	13.2	4.5	73766	6.2	23.8	4.6	4329675	9.6	36.6	21.0	2.9	6.6	10725800	10799566	4.3	0.1	11	10	4	4	9	15	5	14	9	14	10	26	10	3	23	29	8	8	15	13
Hawaii	5.9	4.1	5.9	5.4	12.7	3.5	-10358	6.2	21.3	4.8	546571	10.7	25.7	12.3	2.8	7.3	1451911	1441553	2.6	0.0	36	50	43	51	15	28		14	38	12	43	23	35	30	28	9	41	41	34	30
Idaho	7.1	5.6	7.4	7.1	12.6	3.1	53151	6.5	25.3	2.2	737411	12.7	27.8	19.7	3.4	8.2	1847772	1900923	6.3	0.2	3	28	2	2	17	35	9	8	3	48	41	17	26	4	17	2	39	39	4	3
Illinois	6.0	5.7	6.5	6.5	12.9	4.6	-113776	5.9	22.5	3.8	5373385	17.2	30.4	10.8	1.5	5.4	12785245	12671469	1.7	0.0	27	27	21	22	11	13		30	23	23	6	11	21	42	48	51	6	6	48	30
Indiana	6.5	7.1	6.7	6.9	12.3	3.6	20341	6.2	23.5	3.4	2903720	7.1	23.9	11.9	2.4	6.2	6785644	6805985	2.9	0.0	11	16	11	6	27	27	13	14	11	33	17	33	40	33	35	38	17	17	31	30
Iowa	6.4	4.6	6.6	6.7	12.1	2.9	4410	6.2	23.1	3.9	1407819	6.2	20.9	10.9	2.9	6.5	3188669	3193079	3.6	0.1	15	39	16	12	36	37	27	14	17	22	31	35	47	39	23	32	32	32	22	13
Kansas	6.8	5.2	6.9	6.9	12.3	3.5	-1298	6.5	24.2	3.6	1280376	12.1	26.1	10.9	2.5	6.4	2935880	2934582	2.8	0.1	7	31	7	6	27	28		8	7	28	34	18	33	39	32	36	36	36	32	13
Kentucky	6.2	7.8	6.4	6.5	12.4	5.0	5436	6.1	22.6	3.4	1994554	3.8	20.9	14.3	2.9	6.1	4503958	4509394	3.1	0.1	19	8	23	22	25	7	24	19	22	33	26	48	47	22	23	39	26	26	29	13
Louisiana	6.4	9.5	6.7	6.4	12.6	4.7	-27156	6.5	23.5	2.7	2074664	5.2	26.8	14.3	4.0	8.1	4651203	4624047	4.0	0.2	15	2	11	31	17	8		8	11	42	25	39	29	22	8	5	25	25	19	3
Maine	5.1	4.5	5.4	5.8	11.5	2.3	9967	4.8	18.7	1.6	746793	1.7	27.7	12.6	2.3	7.3	1362280	1372247	2.2	0.0	48	44	50	49	50	47	22	49	50	52	40	51	27	29	37	9	43	43	40	30
Maryland	6.1	5.6	6.3	6.3	12.9	3.9	-7550	6.0	22.2	7.7	2459650	10.3	33.4	11.2	2.6	7.1	6172679	6165129	3.2	0.0	24	28	30	34	11	22		25	27	2	20	24	15	36	31	14	18	19	28	30
Massachusetts	5.3	4.7	5.7	6.6	12.2	4.2	-37497	5.2	19.8	4.3	2913009	12.0	25.8	7.1	1.7	5.8	7022220	6984723	2.3	0.0	45	38	47	16	32	17		46	46	17	16	19	34	49	44	46	15	15	39	30
Michigan	5.9	6.0	6.2	6.6	11.7	2.7	-16853	5.7	21.7	3.5	4611913	5.2	28.1	9.9	1.2	5.5	10067664	10050811	1.8	0.0	36	24	35	16	46	41		38	36	31	9	39	25	44	50	50	10	10	45	30
Minnesota	6.5	3.9	6.6	6.4	12.7	2.8	225	6.3	23.2	3.4	2458030	5.5	31.2	13.7	2.4	6.1	5707165	5707390	3.3	0.0	11	51	16	31	15	39	33	12	15	33	21	38	18	26	35	39	22	22	27	30
Mississippi	6.4	10.0	7.0	7.0	12.5	4.7	-6905	6.2	23.7	2.4	1330867	3.2	21.8	16.8	3.5	6.7	2956870	2949965	3.5	0.1	15	1	4	4	21	8		14	10	46	33	49	46	12	16	26	35	35	25	13
Missouri	6.1	6.5	6.5	6.5	12.2	2.9	13706	6.1	22.5	3.3	2804664	4.3	25.4	13.0	2.5	6.5	6154481	6168187	2.8	0.1	24	20	21	22	32	37	17	19	23	37	18	42	37	28	32	32	19	18	32	13
Montana	5.9	4.3	6.2	6.1	12.0	1.7	18078	5.8	21.5	2.5	514956	3.9	25.2	14.4	3.6	8.2	1086193	1104271	4.1	0.1	36	48	35	43	40	51	15	33	37	45	44	45	38	21	14	2	45	44	17	13
Nebraska	6.9	4.6	7.0	6.8	12.5	3.8	2237	6.8	24.7	4.6	844248	11.2	25.6	11.1	2.9	7.0	1961455	1963692	3.6	0.0	6	39	4	8	21	25	30	5	5	14	39	20	36	37	23	19	38	38	22	30
Nevada	6.2	7.7	6.6	6.0	13.3	5.3	29920	6.1	22.7	5.2	1268533	28.9	41.0	26.6	3.3	7.2	3114071	3143991	4.7	0.2	19	10	16	45	7	5	10	19	21	8	35	6	2	1	19	11	33	33	11	3
New Hampshire	5.1	4.5	5.7	6.3	11.5	2.2	11144	4.7	19.0	3.1	638611	3.9	39.8	11.6	2.1	6.9	1377848	1388992	2.2	0.0	48	44	47	34	50	48	20	50	48	40	42	45	3	34	40	22	42	42	40	30
New Jersey	6.0	5.1	6.3	6.3	12.8	4.7	-12613	5.8	22.0	4.7	3628732	20.4	37.8	8.8	1.8	5.9	9279743	9267130	2.2	0.0	27	32	30	34	13	8		33	31	13	11	9	7	46	42	44	11	11	40	30
New Mexico	6.3	7.9	6.9	6.6	12.1	5.6	-1689	5.9	23.1	2.3	943568	49.2	27.4	14.7	2.7	7.2	2117566	2115877	2.5	0.2	18	7	7	16	36	4		30	17	47	37	2	28	20	29	11	37	37	35	3
New York	5.6	6.8	5.9	6.1	12.4	6.0	-319020	5.8	20.9	4.2	8362971	19.1	26.5	6.1	1.6	5.7	20154933	19835913	1.6	0.0	41	19	43	43	25	3		33	40	18	4	10	31	51	45	47	4	4	49	30
North Carolina	6.0	7.2	6.4	6.6	12.6	4.3	93985	5.8	22.2	4.2	4687122	9.5	31.4	18.8	4.0	7.0	10457177	10551162	4.8	0.1	27	14	23	16	17	16	4	33	27	18	8	27	17	6	8	19	9	9	9	13
North Dakota	6.6	4.2	6.3	6.3	11.9	2.7	-4014	7.0	23.4	5.4	376597	4.0	22.3	11.0	8.0	7.4	778962	774948	8.0	0.0	10	49	30	34	43	41		3	13	7	48	44	45	38	1	8	48	48	1	30
Ohio	6.0	6.5	6.4	6.5	12.0	2.7	-10570	5.9	22.2	3.8	5217090	3.9	23.4	9.4	1.6	5.6	11790587	11780017	2.0	0.0	27	20	23	22	40	41		30	27	23	7	45	42	45	45	48	7	7	44	30
Oklahoma	6.7	7.6	6.9	6.7	12.5	3.9	24608	6.6	24.2	3.4	1740972	10.9	23.2	13.2	3.9	7.1	3962031	3986639	3.9	0.2	8	12	7	12	21	22	12	7	7	33	28	22	43	27	11	14	28	28	20	3
Oregon	5.8	5.4	6.0	5.9	13.4	3.4	4611	5.5	20.8	3.7	1788855	13.2	37.7	13.9	2.5	6.5	4241544	4246155	3.8	0.3	39	30	40	48	5	31	26	42	41	27	27	15	8	24	32	32	27	27	21	2
Pennsylvania	5.6	5.9	6.0	6.3	11.7	3.1	-25569	5.5	20.7	2.6	5713345	7.6	30.6	8.1	1.6	6.0	12989625	12964056	1.8	0.0	41	25	40	34	46	35		42	42	44	5	30	20	48	45	43	5	5	45	30
Puerto Rico	5.0	null	6.0	6.5	12.3	null	-17954	4.0	18.8	3.1	1559976	98.7	5.8	12.3	0.9	5.6	3281538	3263584	0.3	0.0	51		40	22	27			52	49	40	29	1	52	30	51	48	31	31	52	30
Rhode Island	5.2	6.1	5.6	6.8	11.7	4.7	-619	5.2	19.4	3.8	469289	15.9	34.7	5.9	0.9	6.1	1096229	1095610	1.0	0.0	47	22	49	8	46	8		46	47	23	45	13	13	52	51	39	44	45	51	30
South Carolina	6.0	8.0	6.3	6.5	12.1	3.7	59976	5.7	21.8	3.2	2319112	5.8	29.9	18.8	4.0	6.9	5130729	5190705	5.9	0.1	27	6	30	22	36	26	6	38	35	39	23	36	23	6	8	22	23	23	5	13
South Dakota	7.0	5.0	6.8	6.6	11.9	2.8	8277	6.8	24.5	4.4	396817	4.1	18.7	13.9	4.3	7.1	887099	895376	4.7	0.1	4	34	10	16	43	39	23	5	6	16	47	43	49	24	4	14	47	47	11	13
Tennessee	6.0	7.6	6.4	6.3	12.5	4.2	55099	6.0	22.3	3.8	2996127	5.6	28.2	16.1	3.4	6.6	6920119	6975218	4.7	0.1	27	12	23	34	21	17	8	25	25	23	15	37	24	13	17	29	16	16	11	13
Texas	7.0	7.8	7.4	7.1	13.6	7.8	310288	7.0	25.8	6.0	11112975	39.4	36.5	18.7	5.1	8.6	29217653	29527941	7.1	0.2	4	8	2	2	4	2	1	3	2	3	2	3	11	8	2	1	2	2	2	3
Utah	8.3	4.6	8.3	7.9	13.7	2.4	56291	7.9	29.4	4.2	1110369	14.2	37.4	19.4	4.9	7.2	3281684	3337975	6.8	0.1	1	39	1	1	3	45	7	1	1	18	36	14	9	5	3	11	30	30	3	13
Vermont	5.1	4.5	5.3	6.8	11.3	2.0	3075	4.7	18.5	1.8	337214	2.0	32.7	10.8	2.2	7.1	642495	645570	2.1	0.0	48	44	51	8	52	49	29	50	51	50	49	50	16	42	39	14	51	51	43	30
Virginia	6.0	5.8	6.3	6.5	13.0	3.9	10230	6.0	22.0	5.5	3537788	9.5	30.1	14.9	3.3	6.6	8632044	8642274	3.6	0.0	27	26	30	22	10	22	21	25	31	6	12	27	22	18	19	29	12	12	22	30
Washington	6.2	4.8	6.1	6.0	13.4	3.5	19907	6.1	22.0	4.9	3150194	12.9	31.1	15.0	3.6	7.0	7718785	7738692	4.8	0.2	19	36	38	45	5	28	14	19	31	11	13	16	19	17	14	19	13	13	9	3
West Virginia	5.5	8.3	5.9	6.0	12.0	4.1	-6839	5.3	20.2	1.7	893615	1.6	16.1	11.3	2.3	6.5	1789798	1782959	1.8	0.1	43	4	43	45	40	19		44	44	51	38	52	51	35	37	32	40	40	45	13
Wisconsin	6.0	4.9	6.4	6.5	12.2	2.5	3585	5.7	21.9	3.5	2709444	7.0	26.5	12.3	2.0	5.9	5892323	5895908	2.5	0.0	27	35	23	22	32	44	28	38	34	31	19	34	31	30	41	44	20	20	35	30
Wyoming	6.7	4.6	6.6	6.3	12.6	1.8	1536	6.1	23.2	2.2	278495	10.1	24.9	14.8	4.2	8.2	577267	578803	3.0	0.2	8	39	16	34	17	50	31	19	15	48	52	25	39	19	5	2	52	52	30	3
