name	age_5_9	rooms_8	rooms_9	employed	age_10_14	age_15_19	age_20_24	age_35_44	job_sales	age_5_under	age_under18	grapi_15_19	grapi_30_34	rooms_median	ancestry_swiss	ancestry_welsh	rent_1000_1499	ancestry_danish	built_2000_2009	built_2010_2013	ancestry_english	ancestry_swedish	built_2014_later	ancestry_scottish	income_75000_99999	edu_bachelor_degree	value_200000_299999	value_300000_499999	edu_college_nodegree	income_100000_149999	edu_highschool_higher	rank_age_5_9	rank_rooms_8	rank_rooms_9	rank_employed	rank_age_10_14	rank_age_15_19	rank_age_20_24	rank_age_35_44	rank_job_sales	rank_age_5_under	rank_age_under18	rank_grapi_15_19	rank_grapi_30_34	rank_rooms_median	rank_ancestry_swiss	rank_ancestry_welsh	rank_rent_1000_1499	rank_ancestry_danish	rank_built_2000_2009	rank_built_2010_2013	rank_ancestry_english	rank_ancestry_swedish	rank_built_2014_later	rank_ancestry_scottish	rank_income_75000_99999	rank_edu_bachelor_degree	rank_value_200000_299999	rank_value_300000_499999	rank_edu_college_nodegree	rank_income_100000_149999	rank_edu_highschool_higher
Alabama	6.0	9.4	11.9	54.0	6.4	6.6	6.6	12.2	21.5	6.0	22.3	13.2	8.5	5.8	0.1	0.5	23.5	0.1	15.3	3.9	7.9	0.3	3.5	1.8	11.8	16.3	17.6	11.1	21.6	13.1	86.9	27	21	31	48	23	16	34	32	20	25	25	34	44	13	44	26	41	40	16	11	32	48	25	21	45	45	41	44	19	45	45
Alaska	7.2	6.4	8.1	59.6	6.7	6.3	7.2	12.8	20.4	7.1	24.9	14.9	9.4	4.8	0.4	0.8	35.3	0.7	15.7	2.9	8.0	2.0	2.4	2.2	14.2	18.7	29.3	33.0	26.0	19.3	93.1	2	49	45	29	11	34	6	13	40	2	4	7	11	49	10	12	12	13	14	23	29	14	37	11	5	35	4	9	2	2	7
Arizona	6.2	7.7	7.8	56.2	6.7	6.7	6.8	12.3	23.9	6.0	22.9	13.3	8.9	5.3	0.3	0.6	38.0	0.6	23.4	3.0	8.5	1.3	4.2	1.7	13.2	18.8	26.4	24.2	24.9	15.0	87.9	19	39	46	42	11	12	17	27	3	25	19	30	27	42	19	18	6	15	2	22	25	23	16	23	22	34	13	18	7	31	39
Arkansas	6.5	7.4	8.6	54.8	6.7	6.7	6.7	12.3	21.2	6.3	23.3	14.3	9.0	5.4	0.2	0.5	17.6	0.2	15.7	4.1	8.2	0.5	4.1	1.7	11.6	15.2	15.4	8.4	22.0	11.7	87.2	11	45	42	47	11	12	25	27	24	12	14	14	24	37	24	26	50	28	14	6	27	40	17	23	47	48	46	49	17	50	42
California	6.2	7.1	6.9	59.4	6.6	6.5	6.8	13.3	20.9	6.1	22.8	11.4	9.5	5.1	0.2	0.4	26.7	0.4	10.9	1.8	5.4	0.9	2.4	1.2	12.3	21.6	9.9	26.0	20.9	17.1	83.9	19	46	49	30	16	22	17	7	30	19	20	49	8	47	24	38	30	18	39	42	47	26	37	42	40	16	49	14	24	15	51
Colorado	6.1	9.9	17.7	64.3	6.4	6.4	6.7	13.8	20.9	5.8	22.1	12.2	10.0	5.7	0.4	0.8	34.7	0.7	17.1	3.1	10.4	2.2	5.1	2.5	13.6	26.0	18.4	38.5	20.8	18.2	92.1	24	16	7	8	23	31	25	2	30	33	30	44	2	19	10	12	13	13	11	21	12	13	8	10	16	1	38	1	26	8	14
Connecticut	5.4	9.5	12.5	61.7	6.2	6.8	6.8	11.9	20.9	5.1	20.6	12.2	9.2	5.6	0.2	0.4	38.4	0.3	6.8	1.5	8.4	1.4	1.6	1.6	12.2	22.2	27.3	27.9	16.8	17.6	90.9	44	19	23	17	35	8	17	43	30	48	43	44	16	23	24	38	5	22	50	48	26	22	49	30	42	11	10	13	45	12	24
Delaware	5.7	12.4	16.5	58.0	6.1	6.2	6.0	11.6	21.6	5.7	21.1	13.7	9.4	6.3	0.2	0.8	46.0	0.1	18.7	4.1	9.4	0.7	5.4	1.6	13.9	19.0	30.7	28.8	18.9	17.0	90.6	40	1	10	37	38	42	49	49	19	38	39	20	11	2	24	12	1	40	8	6	17	30	6	30	11	33	2	12	40	16	26
District of Columbia	5.0	5.4	9.1	65.2	4.3	5.3	7.5	15.1	14.5	6.4	18.0	13.5	9.5	4.1	0.2	0.4	23.2	0.3	8.2	3.7	5.6	0.8	5.4	1.3	10.6	25.3	8.5	25.6	12.6	16.4	91.9	51	50	40	5	52	52	3	1	52	11	52	26	8	52	24	38	43	22	47	13	44	28	6	40	51	2	50	15	51	19	15
Florida	5.3	6.8	6.6	55.4	5.8	5.7	6.0	12.1	24.3	5.3	19.9	10.7	9.6	5.2	0.2	0.5	39.2	0.2	18.7	2.7	7.0	0.7	4.4	1.5	12.5	19.3	24.8	22.2	19.8	13.7	88.5	45	48	50	45	46	50	49	36	2	44	45	52	7	45	24	26	4	28	8	29	38	30	14	32	34	31	15	23	37	40	35
