name	rooms_8	rooms_9	class_govt	income_mean	units_10_19	rooms_median	ancestry_arab	rent_1500_1999	rent_2000_2499	edu_grad_degree	in_professional	in_public_admin	job_bus_sci_art	income_percapita	units_1_attached	ancestry_american	income_200000_more	edu_bachelor_higher	income_150000_199999	ancestry_subsaharan_african	rank_rooms_8	rank_rooms_9	rank_class_govt	rank_income_mean	rank_units_10_19	rank_rooms_median	rank_ancestry_arab	rank_rent_1500_1999	rank_rent_2000_2499	rank_edu_grad_degree	rank_in_professional	rank_in_public_admin	rank_job_bus_sci_art	rank_income_percapita	rank_units_1_attached	rank_ancestry_american	rank_income_200000_more	rank_edu_bachelor_higher	rank_income_150000_199999	rank_ancestry_subsaharan_african
Alabama	9.4	11.9	15.7	71964	3.3	5.8	0.3	4.5	0.9	9.9	9.6	5.5	35.7	28934	1.6	16.2	4.4	26.2	4.9	0.9	21	31	16	47	37	13	31	42	45	40	35	13	42	47	50	1	45	44	44	26
Alaska	6.4	8.1	25.9	98811	2.7	4.8	0.1	18.9	11.0	11.3	8.2	11.8	38.2	37094	7.4	3.5	8.8	30.0	9.6	0.8	49	45	1	13	42	49	49	12	5	29	45	2	26	15	9	42	13	32	6	28
Arizona	7.7	7.8	13.8	84380	4.2	5.3	0.5	14.9	3.6	11.5	12.5	4.9	37.6	32340	4.9	3.7	6.4	30.3	6.1	0.7	39	46	31	24	18	42	17	19	19	27	12	18	30	34	21	38	23	31	26	33
Arkansas	7.4	8.6	15.2	69357	3.6	5.4	0.2	2.8	0.8	8.6	7.7	4.4	34.9	27724	1.6	9.8	4.0	23.8	4.0	0.7	45	42	19	49	28	37	45	51	47	49	47	30	48	49	50	8	49	49	50	33
California	7.1	6.9	13.9	111622	5.1	5.1	0.8	23.8	14.5	13.1	13.8	4.6	40.3	38576	7.1	2.9	13.3	34.7	9.4	0.7	46	49	29	6	9	47	6	3	2	15	6	25	16	12	12	48	5	15	8	33
Colorado	9.9	17.7	13.6	100933	5.6	5.7	0.4	24.8	9.0	15.6	14.3	4.6	43.5	39545	7.2	3.8	9.6	41.6	8.7	0.8	16	7	34	12	4	19	22	2	11	9	5	25	7	10	11	35	12	3	12	28
Connecticut	9.5	12.5	12.8	115337	3.6	5.6	0.7	17.9	6.3	17.9	11.7	3.7	44.5	45668	5.6	3.7	13.2	40.0	9.6	1.0	19	23	41	4	28	23	10	14	12	4	15	46	5	2	17	38	6	6	6	19
Delaware	12.4	16.5	15.2	92308	5.0	6.3	0.4	15.3	3.1	13.7	10.1	5.6	40.8	36574	15.9	6.0	7.6	32.7	7.7	1.5	1	10	19	18	10	2	22	17	24	14	27	11	13	17	4	20	18	21	18	8
District of Columbia	5.4	9.1	24.8	133587	9.0	4.1	0.8	21.1	14.6	34.5	24.0	16.8	65.5	58659	23.9	2.6	19.8	59.8	10.3	3.2	50	40	2	1	1	52	6	6	1	1	1	1	1	1	1	49	1	1	5	2
Florida	6.8	6.6	11.7	83104	5.6	5.2	0.6	19.6	6.2	11.3	13.3	4.3	36.4	32848	6.3	8.0	6.4	30.5	5.6	0.7	48	50	49	28	4	45	13	10	13	29	9	33	37	28	14	11	23	30	32	33
Georgia	10.1	15.3	14.3	85691	4.6	5.9	0.3	12.8	2.9	12.5	12.7	4.8	38.5	32427	4.1	9.7	7.1	32.2	6.3	1.9	15	14	26	22	14	9	31	23	26	19	10	21	24	33	31	9	20	25	22	7
Hawaii	5.4	6.1	20.4	107348	4.8	4.7	0.2	20.6	13.8	11.6	10.3	8.8	35.7	37013	9.0	1.3	11.3	33.6	10.5	0.2	50	51	7	7	12	51	45	8	3	25	25	4	42	16	8	51	9	19	3	49
Idaho	10.3	16.3	14.6	77399	2.2	5.9	0.2	7.3	1.4	9.4	9.8	4.9	36.0	29494	3.3	6.2	4.7	28.7	5.0	0.2	12	11	23	39	48	9	45	32	36	43	30	18	39	45	41	19	40	39	43	49
Illinois	9.3	13.0	12.2	95115	3.8	5.6	0.8	13.6	5.3	13.9	12.1	3.7	39.8	37306	5.8	3.7	8.8	35.5	7.8	1.0	25	22	45	15	23	23	6	21	15	12	14	46	18	14	15	38	13	13	15	19
Indiana	9.8	13.5	10.8	76984	3.4	5.8	0.3	4.5	1.0	9.9	8.5	3.5	35.1	30693	3.7	7.7	4.5	27.2	5.2	0.9	17	19	50	40	33	13	31	42	44	40	44	49	47	42	37	12	43	43	40	26
Iowa	10.5	16.0	13.5	80316	3.9	5.9	0.3	4.5	1.2	9.6	7.4	3.1	37.2	33021	4.1	4.5	5.0	29.3	5.6	1.0	9	12	35	33	22	9	31	42	39	42	48	52	35	26	31	30	37	35	32	19
Kansas	10.5	16.6	15.8	82103	3.6	6.0	0.3	6.3	1.5	12.5	9.7	4.5	39.2	32798	4.7	5.9	5.7	33.9	5.9	0.7	9	9	14	31	28	5	31	35	34	19	33	28	20	29	22	21	29	18	30	33
Kentucky	8.7	12.2	14.3	72318	3.4	5.6	0.3	3.4	0.7	10.3	8.6	4.3	35.2	29123	2.6	14.0	4.2	25.0	4.5	0.8	33	28	26	46	33	23	31	47	50	39	42	33	46	46	46	2	47	47	48	28
Louisiana	7.7	8.3	15.2	73759	2.7	5.4	0.4	6.2	1.6	8.9	9.2	5.3	35.3	29522	2.7	7.5	4.7	24.9	5.3	1.4	39	43	19	45	42	37	22	37	32	46	36	14	45	44	44	15	40	48	38	10
Maine	8.3	10.0	13.4	78301	1.6	5.4	0.3	7.8	1.6	12.2	9.2	4.4	38.8	33774	2.3	6.5	4.9	32.5	5.5	0.8	36	37	36	36	52	37	31	31	32	22	36	30	22	24	47	18	39	22	35	28
Maryland	11.4	20.7	21.7	114236	7.7	6.2	0.6	27.1	10.8	19.1	15.8	10.9	47.2	43352	21.3	4.6	13.4	40.9	10.8	4.3	3	2	4	5	2	3	13	1	6	3	3	3	3	5	2	28	4	4	1	1
Massachusetts	9.3	12.0	12.3	115964	4.3	5.5	1.0	20.2	11.4	20.0	14.4	3.8	48.0	45555	5.4	3.8	14.3	44.5	10.6	2.2	25	30	42	3	17	32	3	9	4	2	4	45	2	3	19	35	3	2	2	6
Michigan	9.5	13.5	10.7	80803	3.5	5.8	2.0	6.6	1.8	11.7	9.7	3.5	37.6	32854	4.6	5.0	5.7	30.0	5.9	0.8	19	19	51	32	31	13	1	34	31	23	33	49	30	27	25	23	29	32	30	28
Minnesota	11.0	19.8	12.2	96814	3.4	6.1	0.5	13.6	3.6	12.6	10.0	3.6	42.2	38881	7.4	3.0	8.5	36.8	8.2	2.9	5	3	45	14	33	4	17	21	19	18	28	48	11	11	9	47	15	11	14	4
Mississippi	8.6	9.2	18.5	65156	2.4	5.6	0.3	3.4	0.6	8.9	6.9	5.3	33.1	25444	1.2	10.7	3.4	22.8	4.1	0.7	34	39	10	51	46	23	31	47	51	46	49	14	50	51	52	4	50	50	49	33
Missouri	9.1	12.5	12.3	78194	3.3	5.6	0.4	4.9	1.2	11.5	9.8	4.3	37.9	31839	3.4	7.7	5.2	29.9	5.3	0.7	28	23	42	37	37	23	22	41	39	27	30	33	27	37	40	12	31	34	38	33
Montana	9.1	14.3	16.4	76834	2.5	5.5	0.1	6.2	1.5	10.9	8.8	5.6	37.5	32463	3.9	5.0	4.7	33.1	5.4	0.1	28	17	12	42	45	32	49	37	34	32	40	11	33	32	35	23	40	20	36	51
Nebraska	10.7	18.8	14.1	82306	4.6	6.0	0.4	5.6	1.1	11.1	8.9	4.2	38.8	33205	4.1	3.7	5.2	32.5	6.1	1.0	8	4	28	30	14	5	22	40	42	31	39	36	22	25	31	38	31	22	26	19
Nevada	7.6	7.8	11.9	84350	5.2	5.2	0.4	17.9	4.0	8.8	11.5	4.2	30.9	32629	4.7	3.5	5.9	25.5	6.2	1.3	42	46	48	25	8	45	22	14	18	48	18	36	52	30	22	42	28	46	24	13
New Hampshire	9.4	12.3	13.1	101292	3.1	5.6	0.7	17.0	4.3	14.5	11.2	4.1	41.9	41234	5.5	4.3	9.7	37.6	9.2	0.6	21	26	39	11	40	23	10	16	16	10	20	39	12	7	18	32	11	9	9	40
New Jersey	10.4	14.9	13.7	117868	4.7	5.7	1.2	23.4	9.2	15.9	13.7	4.4	44.2	44153	9.7	3.3	14.8	40.7	10.4	1.3	11	15	33	2	13	19	2	4	9	8	7	30	6	4	7	45	2	5	4	13
New Mexico	7.1	7.1	22.5	70241	2.3	5.3	0.3	6.7	1.4	12.3	11.6	7.6	37.8	27945	3.5	4.2	4.1	28.1	4.7	0.4	46	48	3	48	47	42	31	33	36	21	17	7	28	48	39	33	48	42	47	46
New York	7.5	9.8	15.8	105304	4.2	5.0	0.9	19.3	9.8	16.5	12.2	4.8	42.6	40898	5.3	4.9	11.5	37.5	8.4	1.4	43	38	14	9	18	48	4	11	8	6	13	21	10	8	20	25	8	10	13	10
North Carolina	8.4	11.7	13.9	79620	4.2	5.5	0.4	8.6	1.9	11.6	11.2	4.1	38.9	31993	4.3	10.4	6.0	32.0	5.4	1.3	35	32	29	34	18	32	22	27	29	25	20	39	21	36	28	6	25	26	36	13
North Dakota	9.4	17.9	16.1	85506	5.4	5.6	0.4	6.3	1.1	8.6	6.6	4.7	38.3	36289	5.8	2.6	6.0	30.7	6.3	1.5	21	6	13	23	7	23	22	35	42	49	50	23	25	18	15	49	25	28	22	8
