name	age_35_44	grapi_25_29	grapi_30_34	rent_median	value_median	earnings_male	income_median	rent_1500_1999	rent_2000_2499	ancestry_swedish	housing_occupied	ancestry_ukranian	units_boat_rv_van	value_300000_499999	value_500000_999999	income_150000_199999	rank_age_35_44	rank_grapi_25_29	rank_grapi_30_34	rank_rent_median	rank_value_median	rank_earnings_male	rank_income_median	rank_rent_1500_1999	rank_rent_2000_2499	rank_ancestry_swedish	rank_housing_occupied	rank_ancestry_ukranian	rank_units_boat_rv_van	rank_value_300000_499999	rank_value_500000_999999	rank_income_150000_199999
Alabama	12.2	11.8	8.5	811	149600	50823	52035	4.5	0.9	0.3	83.2	0.1	0.1	11.1	3.8	4.9	32	21	44	45	45	36	46	42	45	48	46	34	13	44	42	44
Alaska	12.8	11.7	9.4	1240	275600	61539	77790	18.9	11.0	2.0	80.1	0.3	0.2	33.0	9.4	9.6	13	24	11	11	16	7	9	12	5	14	49	16	3	9	17	6
Arizona	12.3	12.0	8.9	1097	242000	50312	61529	14.9	3.6	1.3	86.9	0.2	0.4	24.2	9.3	6.1	27	16	27	18	20	37	29	19	19	23	31	25	1	18	18	26
Arkansas	12.3	11.6	9.0	760	133600	45269	49475	2.8	0.8	0.5	84.8	0.1	0.1	8.4	2.7	4.0	27	28	24	50	49	51	49	51	47	40	37	34	13	49	49	50
California	13.3	11.5	9.5	1586	538500	58031	78672	23.8	14.5	0.9	92.2	0.3	0.1	26.0	37.0	9.4	7	36	8	3	3	15	7	3	2	26	1	16	13	14	3	8
Colorado	13.8	12.5	10.0	1335	369900	58307	75231	24.8	9.0	2.2	90.5	0.2	0.1	38.5	22.8	8.7	2	6	2	8	5	14	12	2	11	13	9	25	13	1	6	12
Connecticut	11.9	11.9	9.2	1201	279700	68716	79855	17.9	6.3	1.4	91.1	0.6	0.0	27.9	12.1	9.6	43	18	16	13	14	4	6	14	12	22	4	5	30	13	13	6
Delaware	11.6	12.5	9.4	1150	258300	56025	69110	15.3	3.1	0.7	84.6	0.5	0.0	28.8	7.5	7.7	49	6	11	16	18	19	17	17	24	30	39	7	30	12	24	18
District of Columbia	15.1	12.1	9.5	1607	618100	84061	90842	21.1	14.6	0.8	90.3	0.5	0.0	25.6	41.3	10.3	1	14	8	2	2	1	1	6	1	28	13	7	30	15	2	5
Florida	12.1	11.7	9.6	1218	232000	45980	57703	19.6	6.2	0.7	82.9	0.3	0.2	22.2	8.7	5.6	36	24	7	12	23	49	38	10	13	30	47	16	3	23	20	32
