name	units_2	age_55_59	grapi_15_19	rent_500_999	class_private	grapi_15_less	ancestry_czech	ancestry_dutch	ancestry_swiss	ancestry_german	ancestry_polish	in_manufacturing	job_prod_transpo	ancestry_norwegian	value_150000_199999	edu_associate_degree	rank_units_2	rank_age_55_59	rank_grapi_15_19	rank_rent_500_999	rank_class_private	rank_grapi_15_less	rank_ancestry_czech	rank_ancestry_dutch	rank_ancestry_swiss	rank_ancestry_german	rank_ancestry_polish	rank_in_manufacturing	rank_job_prod_transpo	rank_ancestry_norwegian	rank_value_150000_199999	rank_edu_associate_degree
Alabama	2.0	6.8	13.2	54.7	78.7	15.5	0.1	0.6	0.1	6.2	0.6	14.2	17.2	0.3	16.6	8.7	37	21	34	14	29	15	44	44	44	47	49	7	6	45	19	28
Alaska	5.4	6.7	14.9	25.1	67.2	14.5	0.4	1.4	0.4	14.3	1.9	3.8	12.1	3.0	10.2	8.7	10	25	7	42	52	23	14	16	10	21	24	50	30	10	41	28
Arizona	1.3	6.1	13.3	35.6	79.9	13.1	0.4	1.1	0.3	12.7	2.2	7.0	10.9	1.7	14.4	8.9	52	49	30	34	22	35	14	23	19	23	21	40	41	15	35	21
Arkansas	3.2	6.5	14.3	62.1	78.6	17.3	0.2	1.0	0.2	9.3	0.8	13.4	17.3	0.5	16.6	7.5	16	34	14	1	30	8	29	26	24	33	46	8	5	31	19	45
California	2.4	6.3	11.4	14.6	78.1	10.6	0.2	0.8	0.2	7.1	1.2	9.0	11.9	0.9	3.3	8.0	26	44	49	49	34	50	29	34	24	44	39	30	34	19	50	38
Colorado	1.6	6.5	12.2	20.8	80.0	10.5	0.6	1.5	0.4	18.3	2.3	6.8	10.0	2.1	6.5	8.5	47	34	44	46	21	51	11	14	10	15	18	41	46	13	48	32
Connecticut	8.2	7.5	12.2	22.9	80.8	12.2	0.3	0.7	0.2	8.4	6.9	10.5	10.2	0.5	14.8	7.8	5	4	44	43	14	41	22	39	24	40	3	21	45	31	33	42
Delaware	1.6	7.1	13.7	26.3	80.3	12.9	0.2	0.8	0.2	12.0	4.1	8.0	11.7	0.4	15.5	8.0	47	9	20	39	16	38	29	34	24	26	10	36	37	37	31	38
District of Columbia	3.1	5.2	13.5	12.2	70.7	15.1	0.4	0.7	0.2	7.3	2.2	1.1	3.7	0.6	1.4	2.9	18	51	26	51	49	18	14	39	24	43	21	52	52	27	52	51
Florida	2.0	6.9	10.7	26.1	82.2	8.9	0.2	0.8	0.2	9.2	2.3	5.1	10.4	0.6	14.5	10.0	37	18	52	40	9	52	29	34	24	36	18	44	44	27	34	13
Georgia	2.1	6.5	13.5	37.9	80.1	13.5	0.1	0.6	0.1	6.4	1.0	10.5	14.7	0.4	17.1	8.0	32	34	26	29	19	32	44	44	44	46	41	21	12	37	15	38
Hawaii	2.1	6.4	10.8	11.8	72.5	11.1	0.1	0.5	0.1	5.8	0.9	2.9	9.3	0.7	1.9	10.9	32	41	51	52	47	49	44	47	44	48	44	51	49	24	51	7
Idaho	2.3	6.2	14.4	51.3	77.8	15.0	0.3	1.8	0.7	16.6	1.3	9.6	13.1	3.0	16.3	9.8	28	48	12	18	36	20	22	6	3	18	36	27	23	10	26	17
Illinois	5.6	6.8	13.9	37.2	83.1	14.6	0.8	1.1	0.3	17.1	6.6	11.7	14.7	1.1	15.6	8.1	7	21	16	30	4	22	7	23	19	17	4	16	12	17	30	36
Indiana	2.4	6.7	14.0	58.6	84.5	15.4	0.2	1.6	0.6	20.6	3.0	18.7	19.5	0.5	18.2	8.9	26	25	15	3	1	16	29	12	5	13	16	1	1	31	6	21
Iowa	2.2	6.7	14.5	58.1	79.9	17.5	1.6	3.7	0.5	32.3	1.3	14.7	17.0	4.7	17.2	11.8	31	25	9	5	22	6	3	3	8	5	36	5	7	6	14	2
Kansas	2.5	6.5	15.1	53.6	77.8	16.0	0.7	1.5	0.4	24.1	1.3	12.5	14.5	1.0	16.4	8.8	23	34	5	15	36	13	8	14	10	7	36	14	15	18	25	24
Kentucky	2.9	6.9	14.4	58.0	80.3	18.0	0.1	0.9	0.2	13.1	0.9	14.3	18.4	0.3	17.4	8.6	19	18	12	6	16	4	44	28	24	22	44	6	2	45	11	30
Louisiana	4.0	6.6	11.5	51.2	78.4	13.8	0.1	0.4	0.1	6.7	0.5	7.6	13.1	0.2	19.0	6.5	14	32	48	19	31	30	44	49	44	45	50	38	23	51	3	50
Maine	4.9	8.0	13.3	45.2	77.9	12.4	0.2	0.9	0.2	7.8	2.2	8.7	12.0	0.8	17.4	10.2	11	2	30	25	35	39	29	28	24	42	21	33	31	22	11	10
Maryland	1.5	7.1	12.9	15.4	73.1	11.8	0.3	0.7	0.2	12.1	2.9	4.5	8.9	0.4	9.2	6.8	50	9	38	48	46	46	22	39	24	25	17	47	51	37	44	48
Massachusetts	9.7	7.1	12.5	19.3	81.9	13.4	0.2	0.5	0.1	5.6	4.2	8.8	9.2	0.5	6.4	7.7	3	9	42	47	11	33	29	47	44	49	9	32	50	31	49	43
Michigan	2.3	7.1	13.3	50.8	84.2	14.2	0.4	4.3	0.2	18.5	8.0	18.6	16.6	0.8	17.1	9.6	28	9	30	20	2	28	14	1	24	14	2	2	10	22	15	18
Minnesota	2.1	7.0	13.7	37.0	82.3	14.4	1.5	1.6	0.4	31.3	4.3	13.4	13.6	13.9	16.6	11.6	32	14	20	31	8	24	4	12	10	6	8	8	22	2	19	3
Mississippi	2.5	6.5	11.9	56.7	75.7	14.9	0.1	0.4	0.0	4.8	0.4	13.2	17.9	0.3	16.2	10.2	23	34	46	10	43	21	44	49	51	51	51	11	3	45	27	10
Missouri	3.3	7.0	15.0	55.5	81.9	15.6	0.4	1.3	0.4	22.3	1.6	11.4	14.7	0.7	18.0	8.1	15	14	6	12	11	14	14	18	10	12	30	18	12	24	7	36
Montana	2.8	7.0	13.1	51.5	74.7	17.4	0.7	1.8	0.5	24.1	1.9	5.0	11.0	8.7	13.5	9.4	20	14	37	17	45	7	8	6	8	7	24	45	40	4	37	19
Nebraska	2.0	6.3	15.3	55.0	79.5	18.0	4.2	1.7	0.4	32.4	3.3	10.2	14.2	1.9	19.4	10.7	37	44	3	13	26	4	1	9	10	4	15	24	19	14	1	8
Nevada	1.4	6.5	13.2	31.8	82.4	12.0	0.3	0.9	0.3	10.0	1.8	4.8	12.0	1.2	10.5	8.4	51	34	34	35	7	45	22	28	19	30	26	46	31	16	40	33
New Hampshire	5.6	8.2	13.9	28.0	80.1	12.1	0.2	0.9	0.2	8.6	4.0	12.6	12.0	0.9	13.0	10.4	7	1	16	38	19	43	29	28	24	38	11	13	31	19	38	9
