name	class_govt	race_white	class_unpaid	units_mobile	grapi_15_less	ancestry_welsh	in_agri_mining	ancestry_danish	built_1970_1979	built_2010_2013	in_construction	ancestry_swedish	job_construction	ancestry_scottish	units_boat_rv_van	income_75000_99999	value_200000_299999	edu_associate_degree	edu_college_nodegree	edu_highschool_higher	rank_class_govt	rank_race_white	rank_class_unpaid	rank_units_mobile	rank_grapi_15_less	rank_ancestry_welsh	rank_in_agri_mining	rank_ancestry_danish	rank_built_1970_1979	rank_built_2010_2013	rank_in_construction	rank_ancestry_swedish	rank_job_construction	rank_ancestry_scottish	rank_units_boat_rv_van	rank_income_75000_99999	rank_value_200000_299999	rank_edu_associate_degree	rank_edu_college_nodegree	rank_edu_highschool_higher
Alabama	15.7	67.5	0.2	13.0	15.5	0.5	1.4	0.1	16.0	3.9	6.7	0.3	9.5	1.8	0.1	11.8	17.6	8.7	21.6	86.9	16	37	6	5	15	26	28	40	21	11	26	48	18	21	13	45	41	28	19	45
Alaska	25.9	63.4	0.2	4.4	14.5	0.8	4.5	0.7	23.0	2.9	6.7	2.0	11.6	2.2	0.2	14.2	29.3	8.7	26.0	93.1	1	42	6	32	23	12	6	13	2	23	26	14	5	11	3	5	4	28	2	7
Arizona	13.8	73.8	0.2	10.3	13.1	0.6	1.3	0.6	16.6	3.0	7.1	1.3	8.9	1.7	0.4	13.2	26.4	8.9	24.9	87.9	31	29	6	11	35	18	31	15	17	22	14	23	29	23	1	22	13	21	7	39
Arkansas	15.2	75.4	0.2	11.7	17.3	0.5	2.7	0.2	18.2	4.1	6.9	0.5	10.1	1.7	0.1	11.6	15.4	7.5	22.0	87.2	19	27	6	9	8	26	16	28	7	6	22	40	14	23	13	47	46	45	17	42
California	13.9	56.1	0.2	3.6	10.6	0.4	2.1	0.4	17.5	1.8	6.4	0.9	8.8	1.2	0.1	12.3	9.9	8.0	20.9	83.9	29	49	6	37	50	38	23	18	12	42	36	26	31	42	13	40	49	38	24	51
Colorado	13.6	81.5	0.2	3.9	10.5	0.8	2.2	0.7	17.8	3.1	8.1	2.2	9.1	2.5	0.1	13.6	18.4	8.5	20.8	92.1	34	19	6	34	51	12	21	13	10	21	5	13	24	10	13	16	38	32	26	14
Connecticut	12.8	74.2	0.2	0.8	12.2	0.4	0.4	0.3	13.5	1.5	6.1	1.4	7.2	1.6	0.0	12.2	27.3	7.8	16.8	90.9	41	28	6	48	41	38	49	22	42	48	39	22	47	30	30	42	10	42	45	24
Delaware	15.2	67.4	0.2	7.8	12.9	0.8	1.0	0.1	11.4	4.1	6.9	0.7	8.8	1.6	0.0	13.9	30.7	8.0	18.9	90.6	19	38	6	19	38	12	38	40	50	6	22	30	31	30	30	11	2	38	40	26
District of Columbia	24.8	41.1	0.2	0.1	15.1	0.4	0.2	0.3	6.9	3.7	2.8	0.8	2.7	1.3	0.0	10.6	8.5	2.9	12.6	91.9	2	51	6	52	18	38	52	22	52	13	52	28	52	40	30	51	50	51	51	15
Florida	11.7	71.6	0.2	8.7	8.9	0.5	0.9	0.2	17.4	2.7	7.9	0.7	9.3	1.5	0.2	12.5	24.8	10.0	19.8	88.5	49	31	6	15	52	26	42	28	14	29	7	30	21	32	3	34	15	13	37	35
Georgia	14.3	57.2	0.2	8.6	13.5	0.5	1.1	0.1	13.5	2.9	6.6	0.4	8.8	1.7	0.1	12.7	21.0	8.0	20.2	87.9	26	48	6	16	32	26	36	40	42	23	29	46	31	23	13	32	28	38	35	39
Hawaii	20.4	24.1	0.2	0.2	11.1	0.3	1.4	0.2	23.2	2.8	7.3	0.6	9.2	0.9	0.0	13.7	7.0	10.9	20.8	92.5	7	52	6	51	49	46	28	28	1	28	9	34	22	51	30	14	52	7	26	11
Idaho	14.6	88.4	0.2	7.7	15.0	1.4	4.8	1.9	17.1	3.4	8.2	2.8	12.2	3.2	0.2	13.1	26.9	9.8	26.1	91.3	23	7	6	20	20	2	5	3	15	17	2	6	2	5	3	24	11	17	1	19
Illinois	12.2	69.8	0.2	2.4	14.6	0.4	1.0	0.3	14.4	1.5	5.4	1.9	7.2	1.1	0.0	12.9	22.3	8.1	20.4	89.7	45	34	6	43	22	38	38	22	36	48	51	16	47	46	30	28	19	36	33	31
Indiana	10.8	82.3	0.2	4.7	15.4	0.6	1.2	0.2	13.8	2.4	6.2	0.8	8.7	1.7	0.0	13.5	17.4	8.9	20.1	89.3	50	17	6	31	16	18	34	28	40	35	38	28	36	23	30	18	42	21	36	32
Iowa	13.5	89.1	0.2	3.6	17.5	0.6	3.8	1.6	14.2	2.9	6.5	2.5	9.6	1.5	0.1	14.3	19.3	11.8	20.6	92.5	35	6	6	37	6	18	10	5	37	23	32	10	17	32	13	4	34	2	30	11
Kansas	15.8	83.0	0.2	4.2	16.0	0.8	3.1	0.5	14.7	2.5	6.4	2.0	9.5	1.9	0.1	13.5	19.0	8.8	22.8	91.4	14	15	6	33	13	12	13	17	33	32	36	14	18	19	13	18	37	24	13	18
Kentucky	14.3	86.2	0.2	11.5	18.0	0.6	1.9	0.1	16.3	2.9	6.1	0.4	9.0	1.9	0.1	12.4	17.0	8.6	20.9	87.2	26	9	6	10	4	18	25	40	18	23	39	46	26	19	13	38	43	30	24	42
Louisiana	15.2	61.2	0.2	12.9	13.8	0.3	3.7	0.1	17.9	4.0	8.1	0.3	11.1	1.0	0.2	11.4	21.3	6.5	21.2	85.9	19	45	6	6	30	46	11	40	9	8	5	48	6	47	3	49	26	50	21	48
Maine	13.4	93.7	0.2	8.3	12.4	0.9	2.4	0.4	13.8	2.3	7.3	1.6	10.8	4.5	0.0	13.8	24.7	10.2	19.2	93.2	36	1	6	18	39	9	19	18	40	37	9	18	9	1	30	13	16	10	38	6
Maryland	21.7	54.2	0.2	1.3	11.8	0.6	0.5	0.2	14.1	2.6	7.1	0.5	7.8	1.4	0.0	13.0	23.7	6.8	18.7	90.6	4	50	6	45	46	18	47	28	39	31	14	40	44	35	30	25	18	48	41	26
Massachusetts	12.3	76.6	0.2	0.8	13.4	0.4	0.4	0.2	11.5	1.7	5.8	1.5	6.6	2.0	0.0	12.0	17.9	7.7	15.3	91.1	42	26	6	48	33	38	49	28	49	44	46	20	51	16	30	43	40	43	50	21
Michigan	10.7	77.6	0.2	5.4	14.2	0.5	1.1	0.4	15.4	1.2	5.5	1.3	7.9	2.1	0.0	12.9	19.6	9.6	23.2	91.3	51	24	6	28	28	26	36	18	26	50	50	23	43	14	30	28	33	18	10	19
Minnesota	12.2	81.6	0.2	3.2	14.4	0.4	2.1	1.2	14.8	2.4	6.1	7.3	8.0	1.2	0.0	14.1	28.8	11.6	20.8	93.4	45	18	6	41	24	38	23	7	32	35	39	1	40	42	30	6	5	3	26	4
Mississippi	18.5	58.0	0.3	14.8	14.9	0.3	2.3	0.1	18.2	3.5	6.7	0.3	10.4	1.4	0.1	11.4	15.7	10.2	22.2	85.3	10	47	2	3	21	46	20	40	7	16	26	48	13	35	13	49	45	10	15	49
Missouri	12.3	81.3	0.2	5.9	15.6	0.6	1.7	0.3	15.3	2.5	6.5	0.9	8.8	1.7	0.1	13.0	19.8	8.1	22.0	90.6	42	20	6	26	14	18	26	22	28	32	32	26	31	23	13	25	32	36	17	26
Montana	16.4	87.8	0.3	10.2	17.4	1.0	6.4	1.1	17.1	3.6	8.2	2.7	11.8	3.0	0.1	12.8	26.0	9.4	23.3	94.0	12	8	2	12	7	6	3	8	15	14	2	9	4	7	13	31	14	19	9	1
Nebraska	14.1	85.3	0.2	3.3	18.0	0.5	4.4	2.0	15.8	2.9	7.0	3.7	9.9	1.4	0.0	14.1	20.5	10.7	22.7	91.6	28	11	6	40	4	26	7	2	22	23	19	3	16	35	30	6	30	8	14	17
Nevada	11.9	62.1	0.2	5.3	12.0	0.5	1.4	0.6	12.9	3.3	7.2	1.1	9.0	1.5	0.2	13.7	28.6	8.4	25.1	86.9	48	44	6	29	45	26	28	15	45	19	11	25	26	32	3	14	7	33	5	45
New Hampshire	13.1	92.0	0.2	5.7	12.1	0.8	0.8	0.3	14.9	2.1	6.9	1.9	8.7	4.1	0.0	14.1	29.8	10.4	18.0	93.3	39	4	6	27	43	12	44	22	30	40	22	16	36	4	30	6	3	9	43	5
New Jersey	13.7	65.5	0.1	0.9	12.2	0.3	0.3	0.2	12.5	1.8	5.9	0.5	7.0	1.0	0.0	12.3	21.5	6.6	16.1	90.3	33	41	50	46	41	46	51	28	46	42	44	40	49	47	30	40	24	49	47	29
New Mexico	22.5	70.0	0.2	16.7	15.1	0.5	4.0	0.3	17.5	2.7	7.2	0.7	10.8	1.4	0.2	11.7	21.8	8.8	23.4	86.5	3	33	6	1	18	26	9	22	12	29	11	30	9	35	3	46	22	24	8	47
New York	15.8	62.3	0.1	2.3	14.3	0.4	0.6	0.2	9.9	1.6	5.7	0.6	7.0	1.0	0.0	12.0	13.5	8.9	15.5	87.2	14	43	50	44	26	38	46	28	51	45	47	34	49	47	30	43	48	21	49	42
North Carolina	13.9	67.6	0.2	12.4	14.4	0.6	1.2	0.2	13.4	4.0	7.0	0.6	9.0	2.2	0.1	12.6	20.5	9.9	21.1	88.5	29	36	6	8	24	18	34	28	44	8	19	34	26	11	13	33	30	15	22	35
North Dakota	16.1	85.7	0.3	7.1	20.9	0.3	9.2	0.9	17.7	8.0	7.4	3.9	11.9	1.2	0.0	14.1	26.5	14.1	22.2	93.1	13	10	2	22	1	46	2	10	11	1	8	2	3	42	30	6	12	1	15	7
Ohio	12.2	80.5	0.2	3.7	16.4	1.0	1.0	0.1	14.2	1.6	5.6	0.6	7.4	1.8	0.0	13.0	18.2	8.8	20.3	90.8	45	21	6	36	12	6	38	40	37	45	48	34	46	21	30	25	39	24	34	25
Oklahoma	17.0	71.1	0.2	9.2	17.2	0.5	4.3	0.2	18.5	3.9	7.1	0.6	11.0	1.7	0.2	12.5	16.2	8.2	23.1	88.6	11	32	6	13	9	26	8	28	6	11	14	34	7	23	3	34	44	34	11	34
Oregon	13.8	82.6	0.2	7.7	11.4	1.0	3.1	0.9	18.6	2.5	6.5	2.3	8.9	2.8	0.3	13.3	21.5	9.0	25.0	91.1	31	16	6	20	47	6	13	10	5	32	32	12	29	8	2	20	24	20	6	21
Pennsylvania	10.7	79.4	0.2	3.8	15.2	1.2	1.3	0.1	12.5	1.6	6.0	0.7	8.0	1.4	0.0	13.2	21.9	8.6	15.9	91.0	51	22	6	35	17	3	31	40	46	45	43	30	40	35	30	22	21	30	48	23
Puerto Rico	21.0	60.0	0.2	0.3	12.4	null	1.3	null	22.8	0.9	5.6	null	9.1	null	0.0	4.3	8.5	null	null	null	5	46	6	50	39		31		3	51	48		24		30	52	50			
Rhode Island	12.9	79.0	0.2	0.9	13.3	0.3	0.5	0.1	12.3	0.9	6.1	1.5	7.5	1.7	0.0	13.3	34.5	8.2	18.0	89.2	40	23	6	46	34	46	47	40	48	51	39	20	45	23	30	20	1	34	43	33
South Carolina	15.0	66.5	0.2	15.8	13.7	0.5	0.9	0.1	14.5	4.0	6.9	0.5	9.2	2.2	0.1	12.4	19.2	9.9	20.6	88.3	22	39	6	2	31	26	42	40	34	8	22	40	22	11	13	38	35	15	30	37
South Dakota	15.5	83.6	0.3	8.6	19.8	0.5	6.4	1.8	16.3	4.3	7.1	3.0	10.8	1.2	0.1	14.6	22.3	11.6	21.1	92.2	18	14	2	16	2	26	3	4	18	4	14	5	9	42	13	3	19	3	22	13
Tennessee	13.3	76.7	0.2	8.9	14.3	0.6	1.0	0.1	15.1	3.4	6.6	0.5	8.7	2.1	0.1	12.5	20.8	7.5	20.7	88.2	37	25	6	14	26	18	38	40	29	17	29	40	36	14	13	34	29	45	29	38
Texas	13.3	69.2	0.2	6.9	13.0	0.4	2.8	0.2	14.9	5.1	8.6	0.5	10.5	1.3	0.2	12.5	21.2	7.4	21.5	84.4	37	35	6	23	37	38	15	28	30	2	1	40	12	40	3	34	27	47	20	50
Utah	14.6	85.1	0.2	3.1	14.2	1.9	1.5	4.6	15.8	4.9	7.2	3.4	8.8	4.2	0.1	15.4	28.0	10.0	25.5	93.0	23	12	6	42	28	1	27	1	22	3	11	4	31	3	13	1	9	13	3	9
Vermont	14.6	93.6	0.2	6.4	11.2	1.1	2.7	0.4	15.7	2.2	7.1	1.6	10.1	4.3	0.0	13.9	28.4	8.8	16.7	93.5	23	2	6	24	48	4	16	18	24	39	14	18	14	2	30	11	8	24	46	3
Virginia	20.0	66.3	0.2	4.9	13.1	0.7	0.8	0.2	15.4	3.3	6.6	0.6	8.0	2.0	0.0	12.9	21.6	7.9	19.1	90.3	8	40	6	30	35	17	44	28	26	19	29	34	40	16	30	28	23	41	39	29
Washington	15.6	73.5	0.2	6.0	12.1	0.9	2.5	0.9	15.5	3.6	7.0	2.8	9.4	2.7	0.2	13.6	19.1	10.1	23.1	91.7	17	30	6	25	43	9	18	10	25	14	19	6	20	9	3	16	36	12	11	16
West Virginia	19.6	92.5	0.1	14.6	17.0	0.9	3.6	0.1	16.2	2.3	6.5	0.3	10.9	2.0	0.1	11.6	15.2	7.6	18.7	87.6	9	3	50	4	10	9	12	40	20	37	32	48	8	16	13	47	47	44	41	41
Wisconsin	12.3	84.3	0.2	3.4	17.0	0.5	2.2	1.0	14.5	2.0	5.9	2.4	8.5	1.0	0.0	14.1	24.6	11.0	20.5	92.6	42	13	6	39	10	26	21	9	34	41	44	11	39	47	30	6	17	6	32	10
Wyoming	20.6	90.3	0.4	12.7	19.6	1.1	10.5	1.5	19.2	4.2	8.2	2.8	15.1	3.1	0.2	14.9	28.8	11.4	25.4	93.6	6	5	1	7	3	4	1	6	4	5	2	6	1	6	3	2	5	5	4	2
