name	state	zscore_1_65
Autauga County	Alabama	"{""grapi_25_29"": ""{county:19.4|state:11.8|us:11.6}""}"
Baldwin County	Alabama	"{""units_20_more"": ""{county:13.3|state:4.1|us:9.4}"", ""built_1990_1999"": ""{county:24.9|state:18.1|us:13.9}"", ""built_2000_2009"": ""{county:26.9|state:15.3|us:13.6}"", ""built_2014_later"": ""{county:6.6|state:3.5|us:3.5}"", ""ancestry_american"": ""{county:23.2|state:16.2|us:5.9}""}"
Barbour County	Alabama	"{""units_2"": ""{county:6.3|state:2.0|us:3.5}"", ""edu_9_12"": ""{county:17.5|state:9.1|us:6.6}"", ""race_black"": ""{county:47.7|state:26.6|us:12.6}"", ""units_mobile"": ""{county:30.2|state:13.0|us:6.0}"", ""in_manufacturing"": ""{county:24.0|state:14.2|us:10.0}"", ""income_15000_24999"": ""{county:18.4|state:10.9|us:8.5}"", ""ancestry_west_indian"": ""{county:1.4|state:0.2|us:0.9}""}"
Bibb County	Alabama	"{""units_mobile"": ""{county:31.9|state:13.0|us:6.0}"", ""ancestry_american"": ""{county:22.5|state:16.2|us:5.9}""}"
Blount County	Alabama	
Bullock County	Alabama	"{""rooms_3"": ""{county:12.8|state:5.6|us:9.0}"", ""edu_9_12"": ""{county:19.1|state:9.1|us:6.6}"", ""age_15_19"": ""{county:9.9|state:6.6|us:6.5}"", ""race_black"": ""{county:68.6|state:26.6|us:12.6}"", ""grapi_20_24"": ""{county:23.0|state:12.2|us:12.9}"", ""units_mobile"": ""{county:41.8|state:13.0|us:6.0}"", ""grapi_35_more"": ""{county:50.7|state:38.8|us:40.0}"", ""rent_500_less"": ""{county:46.2|state:15.8|us:8.9}"", ""built_1990_1999"": ""{county:27.5|state:18.1|us:13.9}"", ""in_manufacturing"": ""{county:39.0|state:14.2|us:10.0}"", ""job_prod_transpo"": ""{county:36.5|state:17.2|us:13.1}"", ""income_10000_less"": ""{county:18.2|state:8.1|us:5.8}""}"
Butler County	Alabama	"{""rooms_5"": ""{county:35.9|state:22.2|us:19.3}"", ""race_black"": ""{county:44.6|state:26.6|us:12.6}"", ""edu_highschool"": ""{county:46.5|state:30.3|us:26.7}"", ""in_manufacturing"": ""{county:25.5|state:14.2|us:10.0}""}"
Calhoun County	Alabama	
Chambers County	Alabama	"{""rooms_1"": ""{county:8.7|state:1.5|us:2.3}"", ""race_black"": ""{county:40.0|state:26.6|us:12.6}"", ""in_manufacturing"": ""{county:30.4|state:14.2|us:10.0}"", ""job_prod_transpo"": ""{county:30.0|state:17.2|us:13.1}"", ""income_25000_34999"": ""{county:15.5|state:10.5|us:8.6}""}"
Cherokee County	Alabama	
Chilton County	Alabama	"{""units_mobile"": ""{county:32.4|state:13.0|us:6.0}"", ""in_construction"": ""{county:14.8|state:6.7|us:6.7}"", ""units_boat_rv_van"": ""{county:0.7|state:0.1|us:0.1}""}"
