name	popestimate2020	popestimate2021	npopchg_2020	npopchg_2021	age_median	income_median	rooms_median	value_median	rent_median	housing_total
Vermont	642495	645570	-582	3075	42.8	63477	5.6	230900	999	337214
North Dakota	778962	774948	-132	-4014	35.2	65315	5.6	199900	828	376597
Alabama	5024803	5039877	524	15074	39.2	52035	5.8	149600	811	2270398
Mississippi	2956870	2949965	-4409	-6905	37.7	46511	5.6	125500	789	1330867
Pennsylvania	12989625	12964056	-13075	-25569	40.9	63627	6.0	187500	958	5713345
Delaware	991886	1003384	1938	11498	41.0	69110	6.3	258300	1150	438438
Wyoming	577267	578803	416	1536	38.0	65304	5.8	228000	853	278495
Colorado	5784308	5812069	10594	27761	36.9	75231	5.7	369900	1335	2361372
Nebraska	1961455	1963692	-49	2237	36.6	63015	6.0	164000	857	844248
Massachusetts	7022220	6984723	-7697	-37497	39.6	84385	5.5	398800	1336	2913009
Hawaii	1451911	1441553	-3360	-10358	39.4	83173	4.7	636400	1651	546571
Tennessee	6920119	6975218	9279	55099	38.8	54833	5.7	177600	897	2996127
New Mexico	2117566	2115877	44	-1689	38.1	51243	5.3	175700	857	943568
Puerto Rico	3281538	3263584	-4336	-17954	42.4	21058	4.8	111200	486	1559976
Florida	21569932	21781128	31745	211196	42.2	57703	5.2	232000	1218	9562324
Rhode Island	1096229	1095610	-1150	-619	40.0	70305	5.3	276600	1031	469289
Kentucky	4503958	4509394	-1878	5436	39.0	52238	5.6	147100	783	1994554
Wisconsin	5892323	5895908	-1395	3585	39.6	63293	5.6	189200	872	2709444
Washington	7718785	7738692	13504	19907	37.8	77006	5.5	366800	1337	3150194
Missouri	6154481	6168187	-432	13706	38.7	57290	5.6	163600	843	2804664
South Carolina	5130729	5190705	12304	59976	39.7	54864	5.7	170100	918	2319112
District of Columbia	690093	670050	548	-20043	34.1	90842	4.1	618100	1607	319192
California	39499738	39237836	-38485	-261902	36.7	78672	5.1	538500	1586	14210945
Idaho	1847772	1900923	8666	53151	36.6	58915	5.9	235600	887	737411
Minnesota	5707165	5707390	671	225	38.1	73382	6.1	235700	1010	2458030
Connecticut	3600260	3605597	-5684	5337	41.1	79855	5.6	279700	1201	1521199
New Jersey	9279743	9267130	-9251	-12613	40.0	85245	5.7	343500	1368	3628732
Montana	1086193	1104271	1968	18078	40.1	56539	5.5	244900	836	514956
Michigan	10067664	10050811	-9667	-16853	39.8	59234	5.8	162600	892	4611913
Arizona	7177986	7276316	26484	98330	37.9	61529	5.3	242000	1097	3040595
North Carolina	10457177	10551162	17789	93985	38.9	56642	5.5	182100	932	4687122
Oklahoma	3962031	3986639	2678	24608	36.7	53840	5.5	142400	818	1740972
Arkansas	3012232	3025891	708	13659	38.3	49475	5.4	133600	760	1379778
New York	20154933	19835913	-46316	-319020	39.0	71117	5.0	325000	1315	8362971
Texas	29217653	29527941	72148	310288	34.8	63826	5.4	187200	1082	11112975
Kansas	2935880	2934582	-2000	-1298	36.9	61091	6.0	157600	863	1280376
Virginia	8632044	8642274	651	10230	38.4	76398	6.0	282800	1257	3537788
Maine	1362280	1372247	-79	9967	44.8	59489	5.4	198000	873	746793
Ohio	11790587	11780017	-8861	-10570	39.5	58116	5.9	151400	825	5217090
Oregon	4241544	4246155	4288	4611	39.5	65667	5.4	336700	1173	1788855
Maryland	6172679	6165129	-4545	-7550	38.8	87063	6.2	325400	1415	2459650
Indiana	6785644	6805985	116	20341	37.8	58235	5.8	148900	844	2903720
Illinois	12785245	12671469	-27263	-113776	38.3	68428	5.6	202100	1038	5373385
New Hampshire	1377848	1388992	319	11144	43.0	77923	5.6	272300	1145	638611
Iowa	3188669	3193079	-1700	4410	38.3	61836	5.9	153900	806	1407819
Louisiana	4651203	4624047	-6554	-27156	37.2	50800	5.4	168100	876	2074664
West Virginia	1789798	1782959	-3918	-6839	42.7	48037	5.8	123200	732	893615
Utah	3281684	3337975	10068	56291	31.1	74197	6.4	305400	1090	1110369
Nevada	3114071	3143991	9457	29920	38.2	62043	5.2	290200	1159	1268533
Alaska	732441	732673	-950	232	34.6	77790	4.8	275600	1240	318370
Georgia	10725800	10799566	13892	73766	36.9	61224	5.9	190200	1042	4329675
South Dakota	887099	895376	432	8277	37.2	59896	5.8	174600	761	396817
